activeaddresses30mom,confirmationtime30ema,confirmationtime3ema,confirmationtime90ema,difficulty14var,hashrate14mom,hashrate14trx,hashrate30roc,hashrate3std,hashrate7trx,hashrate90roc,median_transaction_fee3trxUSD,median_transaction_fee7rocUSD,mediantransactionvalue14rocUSD,mediantransactionvalue14rsiUSD,mediantransactionvalue14smaUSD,mediantransactionvalue7rsiUSD,mediantransactionvalueUSD,mining_profitability3roc,mining_profitability7std,price3rsiUSD,price7momUSD,price7varUSD,priceUSD,sentbyaddress30var,sentinusdUSD,size30rsi,size30std,size30trx,size3mom,top100cap,category
26527,8.368,7.882999999999999,8.93,761539976695.0,17734217715780.0,2.0,103.34200000000001,9120893942289.0,1.91,169.207,3.721,36.98,17.119,60.148,54.928000000000004,60.871,64.987,11.668,1354.0,99.456,25.57,47.123999999999995,94.715,41786951,136779480.0,48.67100000000001,61285.0,-0.019,-38565.0,19.962,1
45815,8.341000000000001,7.92,8.908999999999999,695426590110.0,16383817402884.0,2.017,87.712,9102326460793.0,2.016,171.197,5.183,50.27,55.315,69.764,57.343,75.133,94.955,20.96,1331.0,99.811,36.045,70.017,107.749,47486125,278422775.0,52.003,61721.0,-0.015,-12301.0,20.024,1
53604,8.334,8.074,8.894,594458447418.0,15570142976346.0,2.015,60.185,4382926598167.0,1.9909999999999999,154.039,6.968,51.448,77.719,71.628,60.54600000000001,77.547,102.53299999999999,26.973000000000003,1543.0,99.902,40.765,147.237,120.00299999999999,64654761,284039909.0,52.771,62497.0,-0.006,36379.0,19.987000000000002,1
51496,8.399,8.712,8.904,458635548619.0,2607466853785.0,1.969,61.053000000000004,5604231281746.0,1.734,144.48,7.181,44.093,148.975,75.998,65.817,82.868,123.314,21.568,1837.0,99.919,37.81,212.638,123.56200000000001,85452388,282809750.0,55.88399999999999,65394.0,0.013000000000000001,82312.0,19.99,1
30883,8.446,8.913,8.908999999999999,303649731270.0,-2893323456757.0,1.8730000000000002,53.47,6941518587731.0,1.2990000000000002,129.366,6.652,48.589,136.282,76.351,70.97399999999999,83.28399999999999,125.18299999999999,24.533,2233.0,99.941,42.073,252.53400000000002,128.664,102026223,264855827.0,52.846000000000004,65074.0,0.034,14623.0,19.833,1
16719,8.471,8.874,8.907,163650815957.0,9447687230248.0,1.8,91.145,8304863333104.0,1.1340000000000001,197.729,5.981,53.353,116.499,58.885,74.44,54.42,90.165,0.809,1945.0,99.959,46.659,254.364,134.114,102441468,178261986.0,50.032,62919.0,0.052000000000000005,-25642.0,19.833,1
30502,8.491,8.827,8.904,117098288072.0,2446401956702.0,1.745,80.26100000000001,9882068371770.0,1.11,175.56900000000002,5.654,59.552,60.875,49.818999999999996,76.17699999999999,41.903,64.295,7.226,1662.0,99.975,53.03,220.99400000000003,142.08,100672517,154226371.0,53.815,65397.0,0.07400000000000001,-16156.0,19.767,1
59772,8.542,9.059,8.913,157860879016.0,11243539115034.0,1.7009999999999998,77.54,1246313681552.0,1.146,156.27100000000002,6.915,72.687,171.667,64.78699999999999,82.073,65.581,130.618,1.749,1370.0,99.99,68.845,273.418,163.561,105592143,249416807.0,52.905,66811.0,0.099,5051.0,19.689,1
55081,8.519,8.62,8.897,188879915695.0,14876381397420.0,1.67,66.58800000000001,2031418385078.0,1.229,207.66299999999998,9.62,81.344,183.895,72.973,91.009,76.234,193.144,49.628,2978.0,99.99600000000001,87.647,622.056,195.39700000000002,122951117,405474208.0,51.504,66511.0,0.122,20562.0,19.714000000000002,0
79926,8.456,8.08,8.867,210155398108.0,24507905677094.0,1.669,81.082,5815871392440.0,1.436,203.899,7.834,48.746,440.311,82.943,110.751,87.10600000000001,339.149,30.743000000000002,3244.0,68.465,58.497,641.4680000000001,178.5,150691678,513296957.0,50.57899999999999,66465.0,0.141,-36969.0,19.762,0
