difficulty14ema,difficulty14sma,difficulty14trx,difficulty14wma,difficulty30ema,difficulty3ema,difficulty7ema,difficulty90std,fee_to_reward90smaUSD,hashrate14std,hashrate30sma,hashrate30wma,hashrate90ema,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability30std,mining_profitability3sma,mining_profitability3wma,mining_profitability7wma,mining_profitability90rsi,mining_profitability90trx,mining_profitability90wma,price7rsiUSD,price90rocUSD,price90varUSD,priceUSD,category
6096133.0,5956136.0,1.93,6368099.0,5385392.0,6690038.0,6526779.0,2161986.0,1.237,11490406893431.0,44956251399826.0,49808994690260.0,35799562131248.0,0.0474,64.987,7220.0,2048.0,6932.0,7035.0,6806.0,54.763000000000005,0.091,4650.0,96.992,606.456,427.406,94.715,1
6176092.0,6088148.0,1.9480000000000002,6466725.0,5469936.0,6692932.0,6569041.0,2230475.0,1.2429999999999999,11315233330806.0,45919538052526.0,50898629883949.0,36372002455880.0,0.0539,94.955,7990.0,2170.0,7394.0,7564.0,7164.0,55.757,0.10400000000000001,4740.0,98.20100000000001,716.2180000000001,485.111,107.749,1
6245390.0,6220161.0,1.943,6547748.0,5549026.0,6694379.0,6600737.0,2293952.0,1.25,10182774073258.0,46674364484225.0,51824489851457.0,36897241249133.0,0.06,102.53299999999999,8852.0,2388.0,8021.0,8293.0,7645.0,56.831,0.11699999999999999,4847.0,98.75200000000001,808.284,562.186,120.00299999999999,0
6305448.0,6352174.0,1.9169999999999998,6611170.0,5623013.0,6695103.0,6624509.0,2352822.0,1.261,10042649490131.0,47372797279589.0,52379205377642.0,37301092103880.0,0.0618,123.314,8777.0,2510.0,8540.0,8671.0,7999.0,56.71,0.132,4951.0,98.869,834.762,643.239,123.56200000000001,0
6398730.0,6506275.0,1.8880000000000001,6698222.0,5712177.0,6850081.0,6719647.0,2423226.0,1.2670000000000001,10254314157412.0,47974562797815.0,52665828439969.0,37620089085017.0,0.0643,125.18299999999999,9950.0,2853.0,9193.0,9376.0,8598.0,58.121,0.147,5079.0,99.022,876.762,731.342,128.664,0
6568632.0,6708086.0,1.885,6853785.0,5838682.0,7261540.0,6957985.0,2526499.0,1.2670000000000001,10516744526294.0,48957293289103.0,53559612436911.0,38152135802938.0,0.0671,90.165,8923.0,2999.0,9217.0,9241.0,8816.0,56.49100000000001,0.163,5183.0,99.164,922.051,827.367,134.114,0
6715881.0,6857511.0,1.89,6982440.0,5957025.0,7467270.0,7136739.0,2621567.0,1.272,10841862131140.0,49888014119461.0,54446884782637.0,38691869403926.0,0.071,64.295,9411.0,3162.0,9428.0,9339.0,9073.0,57.07,0.179,5295.0,99.329,979.512,937.173,142.08,0
6843497.0,6927309.0,1.8940000000000001,7091172.0,6067733.0,7570135.0,7270804.0,2711968.0,1.274,11052546653601.0,50810250348052.0,55315279585865.0,39233765319653.0,0.0818,130.618,10124.0,3402.0,9486.0,9687.0,9421.0,57.897,0.196,5422.0,99.587,1120.0,1096.0,163.561,0
6954098.0,6997107.0,1.891,7190598.0,6171299.0,7621567.0,7371353.0,2798086.0,1.275,10949074860693.0,51677790418136.0,56237950129593.0,39802509901107.0,0.0977,193.144,13352.0,4155.0,10963.0,11619.0,10472.0,61.31,0.215,5618.0,99.75200000000001,1337.0,1346.0,195.39700000000002,0
7049951.0,7066905.0,1.8769999999999998,7280717.0,6268182.0,7647284.0,7446765.0,2878277.0,1.246,10017080685539.0,52725657551404.0,57433350995605.0,40470729548145.0,0.0892,339.149,12305.0,4531.0,11927.0,12290.0,11070.0,59.722,0.235,5788.0,79.994,1198.0,1534.0,178.5,0
