difficulty14sma,difficulty30ema,difficulty30sma,difficulty30wma,difficulty3ema,difficulty7ema,difficulty90ema,difficulty90var,difficulty90wma,hashrate14trx,median_transaction_feeUSD,mining_profitability14ema,mining_profitability14std,mining_profitability14wma,mining_profitability30std,mining_profitability30var,mining_profitability3sma,mining_profitability3wma,mining_profitability7sma,mining_profitability7wma,mining_profitability90trx,priceUSD,sentinusd90smaUSD,top100cap90roc,category
5956136.0,5385392.0,5182950.0,5652157.0,6690038.0,6526779.0,4296620.0,1168545930405.0,4430808.0,2.0,0.0474,6242.0,1716.0,6442.0,2048.0,1048771.0,6932.0,7035.0,6562.0,6806.0,0.091,94.715,54550954,2.1830000000000003,1
6088148.0,5469936.0,5260549.0,5749761.0,6692932.0,6569041.0,4349349.0,1243754847226.0,4492115.0,2.017,0.0539,6475.0,1734.0,6670.0,2170.0,1177343.0,7394.0,7564.0,6924.0,7164.0,0.10400000000000001,107.749,57359476,2.1790000000000003,1
6220161.0,5549026.0,5338147.0,5842360.0,6694379.0,6600737.0,4400920.0,1315553871298.0,4552514.0,2.015,0.06,6792.0,2113.0,6984.0,2388.0,1426075.0,8021.0,8293.0,7363.0,7645.0,0.11699999999999999,120.00299999999999,60260338,1.864,1
6352174.0,5623013.0,5415745.0,5929952.0,6695103.0,6624509.0,4451358.0,1383943002621.0,4612006.0,1.969,0.0618,7057.0,2382.0,7268.0,2510.0,1574429.0,8540.0,8671.0,7555.0,7999.0,0.132,123.56200000000001,63061233,2.302,0
6506275.0,5712177.0,5503651.0,6032489.0,6850081.0,6719647.0,4507483.0,1468006625051.0,4677386.0,1.8730000000000002,0.0643,7443.0,2886.0,7689.0,2853.0,2035077.0,9193.0,9376.0,8052.0,8598.0,0.147,128.664,65697182,1.485,0
6708086.0,5838682.0,5613822.0,6172446.0,7261540.0,6957985.0,4577055.0,1595799220682.0,4756464.0,1.8,0.0671,7640.0,3039.0,7944.0,2999.0,2248623.0,9217.0,9241.0,8384.0,8816.0,0.163,134.114,67517839,1.171,0
6857511.0,5957025.0,5723993.0,6305297.0,7467270.0,7136739.0,4645098.0,1718152888140.0,4834395.0,1.745,0.071,7876.0,3016.0,8243.0,3162.0,2498776.0,9428.0,9339.0,8732.0,9073.0,0.179,142.08,69013798,0.72,0
6927309.0,6067733.0,5834164.0,6431039.0,7570135.0,7270804.0,4711645.0,1838692472962.0,4911181.0,1.7009999999999998,0.0818,8176.0,2922.0,8596.0,3402.0,2893644.0,9486.0,9687.0,9147.0,9421.0,0.196,163.561,71465642,1.514,0
6997107.0,6171299.0,5944335.0,6549674.0,7621567.0,7371353.0,4776730.0,1957321566010.0,4986854.0,1.67,0.0977,8866.0,3775.0,9329.0,4155.0,4316562.0,10963.0,11619.0,9913.0,10472.0,0.215,195.39700000000002,75711422,1.699,0
7066905.0,6268182.0,6054505.0,6661200.0,7647284.0,7446765.0,4840384.0,2071119322547.0,5061446.0,1.669,0.0892,9325.0,3964.0,9847.0,4531.0,5132843.0,11927.0,12290.0,10406.0,11070.0,0.235,178.5,81211292,2.133,0
7136703.0,6358816.0,6164676.0,6765619.0,7660142.0,7503324.0,4902639.0,2180085742573.0,5134959.0,1.659,0.0575,9027.0,4004.0,9608.0,4480.0,5018022.0,10916.0,9873.0,10166.0,10242.0,0.254,115.0,84066225,4.169,0
7206501.0,6443602.0,6274847.0,6862931.0,7666571.0,7545743.0,4963526.0,2284220826087.0,5207391.0,1.63,0.0462,8671.0,4022.0,9275.0,4423.0,4890942.0,8586.0,7595.0,9653.0,9290.0,0.273,92.446,85732252,3.92,1
7276299.0,6522918.0,6375101.0,6953134.0,7669785.0,7577557.0,5023075.0,2383524573089.0,5278743.0,1.581,0.0492,8395.0,4024.0,8974.0,4352.0,4734797.0,6682.0,6600.0,9320.0,8526.0,0.29100000000000004,98.435,87019865,4.43,1
7346097.0,6597117.0,6469279.0,7036869.0,7671393.0,7601418.0,5081315.0,2477996983579.0,5349015.0,1.5130000000000001,0.0459,8046.0,4225.0,8564.0,4267.0,4552780.0,6245.0,6148.0,8801.0,7641.0,0.307,91.84899999999999,87685153,4.743,1
7415895.0,6666529.0,6563458.0,7114529.0,7672196.0,7619313.0,5138275.0,2567638057558.0,5418207.0,1.4340000000000002,0.0436,7755.0,4419.0,8177.0,4198.0,4406319.0,6080.0,5958.0,8193.0,6907.0,0.32299999999999995,87.10799999999999,88372982,6.064,1
7485694.0,6731462.0,6657636.0,7186112.0,7672598.0,7632735.0,5193984.0,2652447795025.0,5486319.0,1.376,0.0375,7379.0,4816.0,7680.0,4198.0,4406656.0,5527.0,5387.0,6991.0,6093.0,0.33799999999999997,75.043,89492829,6.763999999999999,1
7581583.0,6815773.0,6763990.0,7275186.0,7855437.0,7734120.0,5256496.0,2758250272700.0,5561378.0,1.328,0.0389,7063.0,5122.0,7220.0,4169.0,4345632.0,5269.0,5126.0,5948.0,5596.0,0.35100000000000003,77.734,90676364,6.239,1
7744331.0,6955032.0,6901545.0,7417786.0,8414867.0,8044164.0,5338205.0,2936841391024.0,5655840.0,1.305,0.0473,6772.0,5379.0,6780.0,4168.0,4342954.0,4940.0,4930.0,5631.0,5329.0,0.363,94.679,96542452,6.406000000000001,1
7884991.0,7085307.0,7039100.0,7551512.0,8694581.0,8276697.0,5418120.0,3107340479299.0,5748904.0,1.242,0.0534,6695.0,5317.0,6553.0,4184.0,4376977.0,5361.0,5559.0,5608.0,5471.0,0.375,106.7,98498384,6.356,0
7977940.0,7207178.0,7176655.0,7676363.0,8834439.0,8451097.0,5496277.0,3269747537528.0,5840570.0,1.175,0.0572,6721.0,5279.0,6454.0,4181.0,4370125.0,5988.0,6323.0,5650.0,5790.0,0.386,114.48,99685942,6.916,0
8070890.0,7321185.0,7314210.0,7792340.0,8904367.0,8581897.0,5572717.0,3424062565708.0,5930837.0,1.155,0.0571,6707.0,5183.0,6338.0,4186.0,4381589.0,6567.0,6637.0,5770.0,6032.0,0.397,114.295,100726893,6.992000000000001,0
8163840.0,7427838.0,7451765.0,7899442.0,8939332.0,8679996.0,5647477.0,3570285563842.0,6019707.0,1.146,0.0568,6621.0,4965.0,6175.0,4204.0,4417617.0,6522.0,6384.0,5798.0,6105.0,0.40700000000000003,113.535,102533244,6.765,0
