activeaddresses90var,difficulty14ema,difficulty14wma,difficulty30ema,difficulty30sma,difficulty3ema,difficulty7ema,difficulty90ema,difficulty90rsi,fee_to_reward30wmaUSD,fee_to_reward90smaUSD,fee_to_reward90wmaUSD,median_transaction_feeUSD,mining_profitability,mining_profitability14std,mining_profitability14var,mining_profitability30std,mining_profitability90mom,mining_profitability90trx,priceUSD,sentbyaddress90std,top100cap30rsi,top100cap30trx,top100cap90roc,category
82659141,6096133.0,6368099.0,5385392.0,5182950.0,6690038.0,6526779.0,4296620.0,91.84100000000001,1.188,1.237,1.245,0.0474,7220.0,1716.0,736163.0,2048.0,4974.0,0.091,94.715,10848.0,65.405,0.011000000000000001,2.1830000000000003,0
93587018,6176092.0,6466725.0,5469936.0,5260549.0,6692932.0,6569041.0,4349349.0,91.84100000000001,1.192,1.2429999999999999,1.248,0.0539,7990.0,1734.0,751741.0,2170.0,5757.0,0.10400000000000001,107.749,11689.0,66.711,0.013999999999999999,2.1790000000000003,0
119931071,6245390.0,6547748.0,5549026.0,5338147.0,6694379.0,6600737.0,4400920.0,91.84100000000001,1.212,1.25,1.255,0.06,8852.0,2113.0,1116414.0,2388.0,6575.0,0.11699999999999999,120.00299999999999,13162.0,65.191,0.017,1.864,0
146568407,6305448.0,6611170.0,5623013.0,5415745.0,6695103.0,6624509.0,4451358.0,91.84100000000001,1.254,1.261,1.271,0.0618,8777.0,2382.0,1418707.0,2510.0,6518.0,0.132,123.56200000000001,14643.0,65.257,0.02,2.302,0
164680970,6398730.0,6698222.0,5712177.0,5503651.0,6850081.0,6719647.0,4507483.0,92.508,1.261,1.2670000000000001,1.274,0.0643,9950.0,2886.0,2082572.0,2853.0,7877.0,0.147,128.664,15788.0,59.122,0.023,1.485,0
167334419,6568632.0,6853785.0,5838682.0,5613822.0,7261540.0,6957985.0,4577055.0,93.64399999999999,1.2429999999999999,1.2670000000000001,1.2670000000000001,0.0671,8923.0,3039.0,2309302.0,2999.0,6611.0,0.163,134.114,15763.0,59.132,0.026000000000000002,1.171,0
174998891,6715881.0,6982440.0,5957025.0,5723993.0,7467270.0,7136739.0,4645098.0,93.64399999999999,1.249,1.272,1.268,0.071,9411.0,3016.0,2274547.0,3162.0,6962.0,0.179,142.08,15865.0,56.711000000000006,0.027999999999999997,0.72,0
206269076,6843497.0,7091172.0,6067733.0,5834164.0,7570135.0,7270804.0,4711645.0,93.64399999999999,1.247,1.274,1.266,0.0818,10124.0,2922.0,2134668.0,3402.0,8304.0,0.196,163.561,16667.0,54.048,0.03,1.514,0
234652099,6954098.0,7190598.0,6171299.0,5944335.0,7621567.0,7371353.0,4776730.0,93.64399999999999,1.24,1.275,1.263,0.0977,13352.0,3775.0,3563293.0,4155.0,11242.0,0.215,195.39700000000002,17992.0,54.763000000000005,0.032,1.699,0
291393310,7049951.0,7280717.0,6268182.0,6054505.0,7647284.0,7446765.0,4840384.0,93.64399999999999,1.248,1.246,1.264,0.0892,12305.0,3964.0,3928726.0,4531.0,10026.0,0.235,178.5,19967.0,56.115,0.033,2.133,0
333892691,7133024.0,7361530.0,6358816.0,6164676.0,7660142.0,7503324.0,4902639.0,93.64399999999999,1.271,1.247,1.271,0.0575,7092.0,4004.0,4007207.0,4480.0,5145.0,0.254,115.0,21154.0,65.535,0.035,4.169,0
349519493,7205021.0,7433036.0,6443602.0,6274847.0,7666571.0,7545743.0,4963526.0,93.64399999999999,1.2770000000000001,1.248,1.272,0.0462,6360.0,4022.0,4044145.0,4423.0,4077.0,0.273,92.446,21584.0,63.745,0.037000000000000005,3.92,0
352764896,7267418.0,7495236.0,6522918.0,6375101.0,7669785.0,7577557.0,5023075.0,93.64399999999999,1.261,1.246,1.266,0.0492,6595.0,4024.0,4047471.0,4352.0,4304.0,0.29100000000000004,98.435,21686.0,63.785,0.04,4.43,0
348988094,7321496.0,7548129.0,6597117.0,6469279.0,7671393.0,7601418.0,5081315.0,93.64399999999999,1.273,1.251,1.2690000000000001,0.0459,5779.0,4225.0,4461914.0,4267.0,3409.0,0.307,91.84899999999999,21536.0,63.997,0.042,4.743,0
362646540,7368363.0,7591716.0,6666529.0,6563458.0,7672196.0,7619313.0,5138275.0,93.64399999999999,1.3119999999999998,1.2590000000000001,1.28,0.0436,5865.0,4419.0,4882989.0,4198.0,3941.0,0.32299999999999995,87.10799999999999,21763.0,68.17699999999999,0.045,6.064,1
376075002,7408981.0,7625997.0,6731462.0,6657636.0,7672598.0,7632735.0,5193984.0,93.64399999999999,1.308,1.258,1.278,0.0375,4937.0,4816.0,5797867.0,4198.0,2563.0,0.33799999999999997,75.043,22291.0,70.193,0.048,6.763999999999999,1
393177207,7492887.0,7699674.0,6815773.0,6763990.0,7855437.0,7734120.0,5256496.0,94.189,1.349,1.264,1.2919999999999998,0.0389,5006.0,5122.0,6559205.0,4169.0,3013.0,0.35100000000000003,77.734,22559.0,65.99600000000001,0.051,6.239,1
395243917,7690408.0,7885369.0,6955032.0,6901545.0,8414867.0,8044164.0,5338205.0,95.245,1.34,1.263,1.2890000000000001,0.0473,4878.0,5379.0,7233185.0,4168.0,2400.0,0.363,94.679,22638.0,66.60600000000001,0.054000000000000006,6.406000000000001,0
408681050,7861593.0,8049365.0,7085307.0,7039100.0,8694581.0,8276697.0,5418120.0,95.245,1.361,1.263,1.297,0.0534,6198.0,5317.0,7067239.0,4184.0,3496.0,0.375,106.7,23036.0,66.502,0.057999999999999996,6.356,0
404579949,8009954.0,8194605.0,7207178.0,7176655.0,8834439.0,8451097.0,5496277.0,95.245,1.3530000000000002,1.265,1.295,0.0572,6887.0,5279.0,6966124.0,4181.0,4565.0,0.386,114.48,22905.0,68.447,0.061,6.916,0
399699859,8138533.0,8327453.0,7321185.0,7314210.0,8904367.0,8581897.0,5572717.0,95.245,1.3159999999999998,1.263,1.284,0.0571,6616.0,5183.0,6715105.0,4186.0,4312.0,0.397,114.295,22713.0,67.578,0.065,6.992000000000001,0
404096543,8249968.0,8447907.0,7427838.0,7451765.0,8939332.0,8679996.0,5647477.0,95.245,1.31,1.266,1.2819999999999998,0.0568,6062.0,4965.0,6162104.0,4204.0,3277.0,0.40700000000000003,113.535,22695.0,67.509,0.068,6.765,0
406509962,8346545.0,8555968.0,7527609.0,7564873.0,8956814.0,8753571.0,5720594.0,95.245,1.319,1.2670000000000001,1.286,0.0604,7056.0,3506.0,3073668.0,4129.0,4534.0,0.41600000000000004,120.78,22875.0,67.54,0.07200000000000001,6.499,0
418818970,8430245.0,8651635.0,7620944.0,7640822.0,8965555.0,8808753.0,5792104.0,95.245,1.331,1.271,1.2919999999999998,0.0674,7469.0,1607.0,645980.0,4024.0,4322.0,0.426,134.8,23096.0,60.742,0.075,6.013,0
420030836,8502785.0,8734910.0,7708257.0,7716771.0,8969925.0,8850138.0,5862042.0,95.245,1.335,1.273,1.294,0.0699,8539.0,1969.0,969112.0,3976.0,5828.0,0.435,139.74,23265.0,62.091,0.077,6.126,0
420859043,8565653.0,8805791.0,7789937.0,7792720.0,8972111.0,8881178.0,5930443.0,95.245,1.3090000000000002,1.27,1.287,0.0665,7248.0,2028.0,1028564.0,3925.0,3996.0,0.444,132.945,23339.0,62.787,0.079,5.513,0
417250856,8620139.0,8864278.0,7866347.0,7868669.0,8973203.0,8904457.0,5997341.0,95.245,1.2919999999999998,1.268,1.2819999999999998,0.0632,6431.0,2025.0,1024992.0,3946.0,3524.0,0.45299999999999996,126.316,23280.0,55.678000000000004,0.081,4.096,0
440041848,8667360.0,8910373.0,7937828.0,7944618.0,8973750.0,8921917.0,6062769.0,95.245,1.255,1.263,1.271,0.062,7773.0,2121.0,1124606.0,3927.0,4843.0,0.461,124.045,23199.0,56.022,0.08199999999999999,4.196000000000001,0
440507768,8708285.0,8944074.0,8004697.0,8020567.0,8974023.0,8935012.0,6126759.0,95.245,1.239,1.261,1.266,0.0653,7263.0,2124.0,1127968.0,3912.0,3953.0,0.469,130.56,23180.0,52.838,0.083,3.372,0
433132044,8861102.0,9082731.0,8124033.0,8125854.0,9414219.0,9164862.0,6208685.0,96.022,1.236,1.265,1.265,0.0672,6393.0,1922.0,923164.0,3930.0,3167.0,0.47600000000000003,134.465,22969.0,53.512,0.083,3.072,0
428660761,9023127.0,9230196.0,8249985.0,8238536.0,9745256.0,9392720.0,6293687.0,96.181,1.2229999999999999,1.266,1.261,0.0623,6340.0,1695.0,718045.0,3953.0,2620.0,0.483,124.662,22862.0,54.958999999999996,0.083,3.627,0
429260989,9163550.0,9358252.0,8367812.0,8351218.0,9910774.0,9563613.0,6376822.0,96.181,1.24,1.2670000000000001,1.2670000000000001,0.0555,5352.0,1553.0,603136.0,4027.0,2339.0,0.488,111.04899999999999,22884.0,56.19,0.08199999999999999,3.8569999999999998,0
427990879,9285249.0,9475812.0,8478036.0,8463900.0,9993534.0,9691783.0,6458129.0,96.181,1.2409999999999999,1.261,1.268,0.0513,5046.0,1784.0,795285.0,4083.0,1784.0,0.493,102.694,22834.0,56.479,0.08199999999999999,4.218,0
425670412,9390721.0,9582877.0,8581150.0,8576582.0,10034913.0,9787911.0,6537649.0,96.181,1.232,1.261,1.265,0.0525,5658.0,1867.0,871146.0,4090.0,1683.0,0.498,105.04,22821.0,55.765,0.081,4.109,0
