difficulty14ema,difficulty14roc,difficulty14trx,difficulty14var,difficulty14wma,difficulty30mom,difficulty30var,difficulty3ema,difficulty7ema,difficulty7trx,difficulty90roc,difficulty90var,fee_to_reward30emaUSD,fee_to_reward30smaUSD,fee_to_reward90emaUSD,fee_to_reward90wmaUSD,hashrate30trx,hashrate7var,median_transaction_feeUSD,mining_profitability,mining_profitability90trx,price14smaUSD,price30wmaUSD,price3trxUSD,price7rsiUSD,price7smaUSD,price90smaUSD,priceUSD,top100cap,top100cap14rsi,top100cap30rsi,top100cap90rsi,category
6096133.0,38.125,1.93,761539976695.0,6368099.0,2327950.0,901878886924.0,6690038.0,6526779.0,2.593,124.72,1168545930405.0,1.215,1.2790000000000001,1.157,1.245,1.3730000000000002,3.5409010287601996e+25,0.0474,7220.0,0.091,73.635,66.298,3.7230000000000003,96.992,84.929,32.485,94.715,19.962,73.605,65.405,50.301,0
6176092.0,38.125,1.9480000000000002,695426590110.0,6466725.0,2327950.0,950005633515.0,6692932.0,6569041.0,2.333,124.72,1243754847226.0,1.2229999999999999,1.286,1.161,1.248,1.406,3.5327816674279e+25,0.0539,7990.0,0.10400000000000001,77.661,69.605,5.184,98.20100000000001,90.07799999999999,33.536,107.749,20.024,75.389,66.711,50.893,0
6245390.0,38.125,1.943,594458447418.0,6547748.0,2327950.0,986089374520.0,6694379.0,6600737.0,2.064,124.72,1315553871298.0,1.247,1.2990000000000002,1.17,1.255,1.435,1.4716784422148998e+25,0.06,8852.0,0.11699999999999999,82.10799999999999,73.541,6.968,98.75200000000001,95.902,34.722,120.00299999999999,19.987000000000002,72.249,65.191,50.53,0
6305448.0,38.125,1.9169999999999998,458635548619.0,6611170.0,2327950.0,1010130109937.0,6695103.0,6624509.0,1.801,124.72,1383943002621.0,1.2919999999999998,1.315,1.187,1.271,1.456,1.2297008069352e+25,0.0618,8777.0,0.132,86.363,77.521,7.181,98.869,101.303,35.948,123.56200000000001,19.99,72.35,65.257,50.559,0
6398730.0,44.504,1.8880000000000001,303649731270.0,6698222.0,2637182.0,1049998827349.0,6850081.0,6719647.0,1.6340000000000001,135.09799999999998,1468006625051.0,1.301,1.232,1.193,1.274,1.4680000000000002,1.9076572243164e+25,0.0643,9950.0,0.147,90.85799999999999,81.643,6.652,99.022,107.314,37.231,128.664,19.833,60.032,59.122,49.033,0
6568632.0,58.283,1.885,163650815957.0,6853785.0,3305124.0,1151730788639.0,7261540.0,6957985.0,1.673,157.515,1595799220682.0,1.278,1.213,1.187,1.2670000000000001,1.479,2.0678421643165e+25,0.0671,8923.0,0.163,95.89299999999999,85.92299999999999,5.982,99.164,113.979,38.576,134.114,19.833,60.051,59.132,49.037,0
6715881.0,37.483000000000004,1.89,117098288072.0,6982440.0,3305124.0,1229187540768.0,7467270.0,7136739.0,1.756,157.515,1718152888140.0,1.28,1.217,1.19,1.268,1.489,1.9099139007964e+25,0.071,9411.0,0.179,101.415,90.515,5.654,99.329,121.555,40.008,142.08,19.767,55.41,56.711000000000006,48.403999999999996,0
6843497.0,14.594000000000001,1.8940000000000001,157860879016.0,7091172.0,3305124.0,1282369083736.0,7570135.0,7270804.0,1.81,146.116,1838692472962.0,1.274,1.216,1.19,1.266,1.4980000000000002,1.6214686235118e+25,0.0818,10124.0,0.196,108.15899999999999,96.27600000000001,6.915,99.587,131.39,41.677,163.561,19.689,50.519,54.048,47.678999999999995,0
6954098.0,14.594000000000001,1.891,188879915695.0,7190598.0,3305124.0,1311275417545.0,7621567.0,7371353.0,1.8090000000000002,136.125,1957321566010.0,1.263,1.209,1.188,1.263,1.506,1.9630982147221e+25,0.0977,13352.0,0.215,116.995,103.83200000000001,9.62,99.75200000000001,143.911,43.696000000000005,195.39700000000002,19.714000000000002,52.004,54.763000000000005,47.935,0
7049951.0,14.594000000000001,1.8769999999999998,210155398108.0,7280717.0,3305124.0,1315906542194.0,7647284.0,7446765.0,1.755,136.125,2071119322547.0,1.268,1.213,1.1909999999999998,1.264,1.518,3.2343030588667e+25,0.0892,12305.0,0.235,124.085,109.97399999999999,7.834,79.994,152.268,45.527,178.5,19.762,54.798,56.115,48.425,0
