activeaddresses,activeaddresses7trx,confirmationtime,confirmationtime14wma,confirmationtime30sma,confirmationtime3ema,confirmationtime3wma,confirmationtime7wma,difficulty14var,fee_to_reward14emaUSD,fee_to_reward3stdUSD,fee_to_reward7emaUSD,fee_to_rewardUSD,hashrate14trx,hashrate30mom,hashrate7std,median_transaction_feeUSD,mediantransactionvalue14momUSD,mediantransactionvalue14rocUSD,mediantransactionvalueUSD,price14rsiUSD,price30rocUSD,price30rsiUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,priceUSD,size3sma,size90mom,size90roc,size90sma,top100cap90rsi,transactions3var,transactions7var,transactionvalueUSD,category
75756,1.516,7.273,8.318,8.4,7.882999999999999,7.864,8.282,761539976695.0,1.189,0.494,1.172,0.867,2.0,33289359261546.0,11901094115686.0,0.0474,9.499,17.119,64.987,95.075,185.993,93.774,8.125,9.383,99.456,3.7230000000000003,25.57,36.98,96.992,94.715,158276.0,50223.0,56.409,154528.0,50.301,38831985.0,38380777.0,2592.0,1
91875,1.611,7.956,8.3,8.367,7.92,7.822,8.099,695426590110.0,1.209,0.385,1.214,1.338,2.017,28898599580993.0,11887441553889.0,0.0539,33.818000000000005,55.315,94.955,96.416,231.96400000000003,94.98700000000001,20.295,23.206,99.811,5.184,36.045,50.27,98.20100000000001,107.749,154176.0,61367.0,53.794,155210.0,50.893,62113871.0,41064926.0,4400.0,1
107142,2.166,8.229,8.324,8.373,8.074,7.978,8.042,594458447418.0,1.26,0.604,1.31,1.5959999999999999,2.015,22644792950968.0,7672492273609.0,0.06,44.839,77.719,102.53299999999999,97.19,259.795,95.785,30.953000000000003,34.759,99.902,6.968,40.765,51.448,98.75200000000001,120.00299999999999,166303.0,76185.0,70.527,156056.0,50.53,26276601.0,45047715.0,4478.0,1
108890,2.7969999999999997,9.351,8.484,8.339,8.712,8.744,8.363999999999999,458635548619.0,1.3519999999999999,0.499,1.469,1.9480000000000002,1.969,20952983860921.0,7013418016731.0,0.0618,73.786,148.975,123.314,97.368,237.355,95.977,28.846,30.456,99.919,7.181,37.81,44.093,98.869,123.56200000000001,193740.0,79757.0,56.24100000000001,156943.0,50.559,2506053.0,54314709.0,4249.0,1
100034,3.094,9.113999999999999,8.586,8.334,8.913,9.045,8.573,303649731270.0,1.3630000000000002,0.43,1.46,1.432,1.8730000000000002,18052965546765.0,8735347100869.0,0.0643,72.203,136.282,125.18299999999999,97.602,229.99200000000002,96.23299999999999,20.915,19.410999999999998,99.941,6.652,42.073,48.589,99.022,128.664,198614.0,71827.0,60.746,157741.0,49.033,5093768.0,53572936.0,4348.0,1
83086,2.801,8.834,8.624,8.328,8.874,9.014,8.683,163650815957.0,1.307,0.8170000000000001,1.3319999999999999,0.9470000000000001,1.8,29481914738664.0,9094706513828.0,0.0671,48.518,116.499,90.165,97.825,235.372,96.479,14.110999999999999,11.759,99.959,5.982,46.659,53.353,99.164,134.114,190067.0,57958.0,57.608000000000004,158385.0,49.037,39371402.0,59507406.0,3458.0,1
87097,2.365,8.78,8.634,8.321,8.827,8.854,8.761000000000001,117098288072.0,1.307,0.41,1.324,1.3019999999999998,1.745,27921624910729.0,8740512343785.0,0.071,24.329,60.875,64.295,98.103,244.10299999999998,96.79700000000001,18.518,14.987,99.975,5.654,53.03,59.552,99.329,142.08,184681.0,100010.0,94.885,159496.0,48.403999999999996,26416614.0,29681200.0,2445.0,1
113894,2.425,9.29,8.701,8.346,9.059,9.044,8.957,157860879016.0,1.29,0.295,1.2890000000000001,1.183,1.7009999999999998,27667086857724.0,8053492716857.0,0.0818,82.537,171.667,130.618,98.616,278.959,97.44,34.896,27.122,99.99,6.915,68.845,72.687,99.587,163.561,186365.0,45815.0,30.685,160005.0,47.678999999999995,26954499.0,19648358.0,4044.0,1
112075,2.582,8.182,8.626,8.357000000000001,8.62,8.651,8.805,188879915695.0,1.266,0.158,1.244,1.11,1.67,26026202102526.0,8861372838837.0,0.0977,125.11,183.895,193.144,99.03299999999999,339.904,98.04299999999999,61.283,45.695,99.99600000000001,9.62,87.647,81.344,99.75200000000001,195.39700000000002,193219.0,30792.0,20.758000000000003,160347.0,47.935,4780518.0,22905042.0,6073.0,0
133453,3.0869999999999997,7.539,8.479,8.315,8.08,8.045,8.482999999999999,210155398108.0,1.276,0.192,1.268,1.34,1.669,31436013998035.0,11374186667831.0,0.0892,276.38,440.311,339.149,84.478,295.611,86.819,36.419000000000004,25.633000000000003,68.465,7.834,58.497,48.746,79.994,178.5,180896.0,4759.0,2.908,160400.0,48.425,4692809.0,22870439.0,8125.0,0
