difficulty90var,fee_to_rewardUSD,hashrate30var,mining_profitability,mining_profitability90trx,price14wmaUSD,price30emaUSD,price30smaUSD,price3emaUSD,price3smaUSD,price3wmaUSD,price7emaUSD,price7wmaUSD,price90emaUSD,price90smaUSD,price90wmaUSD,priceUSD,top100cap,top100cap30trx,top100cap90mom,top100cap90roc,top100cap90rsi,category
1168545930405.0,0.867,9.2668416192271e+25,7220.0,0.091,80.404,61.215,56.481,90.961,90.406,91.616,84.75200000000001,88.156,39.444,32.485,43.032,94.715,19.962,0.011000000000000001,0.426,2.1830000000000003,50.301,0
1243754847226.0,1.338,9.644142194909899e+25,7990.0,0.10400000000000001,84.95200000000001,64.217,58.99100000000001,99.355,97.171,100.288,90.501,93.861,40.945,33.536,44.68600000000001,107.749,20.024,0.013999999999999999,0.42700000000000005,2.1790000000000003,50.893,0
1315553871298.0,1.5959999999999999,1.004435415887e+26,8852.0,0.11699999999999999,90.598,67.816,61.879,109.679,107.48899999999999,111.70299999999999,97.87700000000001,101.34200000000001,42.681999999999995,34.722,46.586000000000006,120.00299999999999,19.987000000000002,0.017,0.366,1.864,50.53,0
1383943002621.0,1.9480000000000002,9.7331859112988e+25,8777.0,0.132,96.125,71.413,64.777,116.62,117.104,119.74,104.29799999999999,108.257,44.46,35.948,48.538999999999994,123.56200000000001,19.99,0.02,0.45,2.302,50.559,0
1468006625051.0,1.432,9.1452961351038e+25,9950.0,0.147,101.765,75.10600000000001,67.766,122.64200000000001,124.07600000000001,125.52,110.389,115.09700000000001,46.31100000000001,37.231,50.576,128.664,19.833,0.023,0.29,1.485,49.033,0
1595799220682.0,0.9470000000000001,8.874323795631701e+25,8923.0,0.163,107.53200000000001,78.913,70.904,128.378,128.78,130.53799999999998,116.32,121.79700000000001,48.24,38.576,52.706,134.114,19.833,0.026000000000000002,0.23,1.171,49.037,0
1718152888140.0,1.3019999999999998,8.7489647255807e+25,9411.0,0.179,113.691,82.98899999999999,74.263,135.22899999999998,134.952,137.188,122.76,128.822,50.303000000000004,40.008,54.981,142.08,19.767,0.027999999999999997,0.141,0.72,48.403999999999996,0
1838692472962.0,1.183,8.5950357350694e+25,10124.0,0.196,121.977,88.18700000000001,78.277,149.395,146.585,151.49200000000002,132.96,139.32399999999998,52.792,41.677,57.696000000000005,163.561,19.689,0.03,0.294,1.514,47.678999999999995,0
1957321566010.0,1.11,8.743302209472e+25,13352.0,0.215,133.608,95.104,83.309,172.396,167.012,175.898,148.569,155.325,55.926,43.696000000000005,61.074,195.39700000000002,19.714000000000002,0.032,0.32899999999999996,1.699,47.935,0
2071119322547.0,1.34,9.2225490332046e+25,12305.0,0.235,141.809,100.484,87.755,175.44799999999998,179.15200000000002,181.642,156.05200000000002,163.972,58.62,45.527,64.03699999999999,178.5,19.762,0.033,0.413,2.133,48.425,0
2180085742573.0,1.5630000000000002,7.7777020507993e+25,7092.0,0.254,140.59799999999998,101.42,90.118,145.224,162.965,149.566,145.789,154.655,59.858999999999995,46.648999999999994,65.564,115.0,20.19,0.035,0.8079999999999999,4.169,52.423,0
2284220826087.0,1.291,6.639490737176501e+25,6360.0,0.273,136.1,100.84100000000001,91.774,118.835,128.648,114.306,132.453,140.006,60.575,47.521,66.571,92.446,20.136,0.037000000000000005,0.76,3.92,51.908,0
2383524573089.0,0.958,6.0112371171297e+25,6595.0,0.29100000000000004,132.346,100.686,93.61200000000001,108.635,101.96,99.199,123.949,128.14700000000002,61.407,48.46,67.69,98.435,20.137999999999998,0.04,0.8540000000000001,4.43,51.927,0
2477996983579.0,1.38,5.4993772993164e+25,5779.0,0.307,127.609,100.116,95.22,100.242,94.243,94.14399999999999,115.92399999999999,115.915,62.076,49.325,68.643,91.84899999999999,20.149,0.042,0.912,4.743,52.023999999999994,0
