price3rsiUSD,activeaddresses90var,mediantransactionvalue7rocUSD,sentbyaddress7var,activeaddresses3trx,hashrate14roc,mining_profitability3sma,size90mom,size7rsi,mining_profitability3roc,price30momUSD,confirmationtime3ema,hashrate3mom,mediantransactionvalue90rsiUSD,confirmationtime7wma,sentbyaddress30std,fee_to_rewardUSD,transactionfees14rsiUSD,size14var,hashrate90roc,confirmationtime30ema,transactionfees30rsiUSD,mediantransactionvalue30wmaUSD,difficulty7trx,difficulty14std,hashrate7mom,priceUSD,hashrate3std,hashrate14mom,median_transaction_feeUSD,mediantransactionvalueUSD,sentinusdUSD,category
99.456,82659141,35.164,30129504.0,-1.376,37.126,6932.0,50223.0,42.217,11.668,61.597,7.882999999999999,6431393708788.0,53.99,8.282,12929.0,0.867,56.505,673384639,169.207,8.368,56.924,48.928,2.593,1745325.0,13397517677322.0,94.715,9120893942289.0,17734217715780.0,0.0474,64.987,136779480.0,1
99.811,93587018,39.571,45880948.0,1.849,36.039,7394.0,61367.0,56.87600000000001,20.96,75.291,7.92,3737454649762.0,56.682,8.099,13782.0,1.338,64.35600000000001,689152619,171.197,8.341000000000001,61.462,52.383,2.333,1667845.0,11610334523600.0,107.749,9102326460793.0,16383817402884.0,0.0539,94.955,278422775.0,1
99.902,119931071,63.35,78761044.0,6.045,34.832,8021.0,76185.0,59.76,26.973000000000006,86.649,8.074,5716892007375.0,57.32100000000001,8.042,16082.0,1.596,70.49600000000002,555653079,154.039,8.334,65.48899999999999,56.154,2.064,1542023.0,14571769384665.0,120.003,4382926598167.0,15570142976346.0,0.06,102.533,284039909.0,1
99.919,146568407,105.812,113610711.0,7.371,4.9510000000000005,8540.0,79757.0,69.804,21.568,86.935,8.712,-10229656991704.0,58.997,8.363999999999999,18488.0,1.948,71.958,721463920,144.48,8.399,66.506,61.08600000000001,1.801,1354453.0,1791589943283.0,123.562,5604231281746.0,2607466853785.0,0.0618,123.314,282809750.0,1
99.941,164680970,93.598,131550831.0,5.263,-5.289,9193.0,71827.0,56.043,24.533,89.67399999999998,8.913,-10030142156358.0,59.143,8.573,20202.0,1.432,63.194,660679155,129.366,8.446,61.622,65.935,1.634,1102088.0,-7255263677346.0,128.664,6941518587731.0,-2893323456757.0,0.0643,125.183,264855827.0,1
99.959,167334419,93.822,130868664.0,0.964,18.037,9217.0,57958.0,45.56399999999999,0.809,94.124,8.874,1557847201520.0,55.407,8.683,20243.0,0.947,56.4,522608121,197.729,8.471,57.603,68.313,1.673,809076.0,3720072498166.0,134.114,8304863333104.0,9447687230248.0,0.0671,90.165,178261986.0,1
99.975,174998891,25.896,81653664.0,-0.941,4.06,9428.0,100010.0,58.898,7.226,100.79,8.827,7437559507776.0,52.91,8.761000000000001,20067.0,1.3019999999999998,61.063,446653947,175.56900000000005,8.491,60.369,68.883,1.756,684393.0,8156539106339.0,142.08,9882068371770.0,2446401956702.0,0.071,64.295,154226371.0,1
99.99,206269076,100.99,60182236.0,2.074,21.579,9486.0,45815.0,55.418,1.749,120.4,9.059,11532678823846.0,57.83600000000001,8.957,20552.0,1.183,61.518,459856995,156.27100000000004,8.542,60.64100000000001,73.653,1.81,794634.0,-2153978562288.0,163.561,1246313681552.0,11243539115034.0,0.0818,130.618,249416807.0,1
99.996,234652099,103.405,75409637.0,3.624,29.613000000000003,10963.0,30792.0,50.058,49.628,150.97799999999995,8.62,3283429025417.0,61.66,8.805,22177.0,1.11,65.946,435282312,207.663,8.519,63.338,82.23100000000002,1.809,869206.0,3266046873820.0,195.397,2031418385078.0,14876381397420.0,0.0977,193.144,405474208.0,0
68.465,291393310,230.769,118804397.0,6.377000000000002,53.629,11927.0,4759.0,46.548,30.743,133.379,8.08,7496489193464.0,68.422,8.482999999999999,24551.0,1.34,72.04,435978926,203.899,8.456,67.40100000000001,99.86,1.755,916854.0,9936136292429.0,178.5,5815871392440.0,24507905677094.0,0.0892,339.149,513296957.0,0
24.65,333892691,-6.649,127408252.0,5.7010000000000005,23.197,10916.0,29318.0,60.923,-29.949,70.892,8.54,2538645038635.0,53.72,8.551,25595.0,1.5630000000000002,51.956,526778528,209.109,8.491,54.799,102.362,1.656,941674.0,10614323468051.0,115.0,4482978136383.0,12405913411334.0,0.0575,115.115,275539134.0,0
18.382,349519493,-21.236,127524140.0,1.783,7.817,8586.0,677.8760000000002,45.322,-52.369,49.659,8.432,-1423364049179.0,52.87300000000001,8.463,25757.0,1.291,48.505,548117408,236.868,8.48,52.397,103.623,1.528,945464.0,11872824980999.0,92.446,5415232385745.0,4617561303653.0,0.0462,98.599,163608012.0,1
