mining_profitability90wma,price90emaUSD,price90smaUSD,price90stdUSD,difficulty14sma,mining_profitability30sma,mining_profitability90trx,median_transaction_fee90rocUSD,median_transaction_feeUSD,difficulty90var,difficulty14trx,price30varUSD,price90momUSD,price30wmaUSD,price3wmaUSD,fee_to_reward30stdUSD,price7smaUSD,mining_profitability,transactionfees90rsiUSD,category
4650.0,39.444,32.485,41.348,5956136.0,5449.0,0.091,606.456,0.0474,1168545930405.0,1.93,343.5180000000001,81.308,66.298,91.616,1.147,84.929,7220.0,55.785,1
4740.0,40.945,33.536,44.05,6088148.0,5582.0,0.104,716.2180000000002,0.0539,1243754847226.0,1.948,405.594,94.548,69.605,100.288,1.145,90.078,7990.0,58.315,1
4847.0,42.682,34.722,47.42100000000001,6220161.0,5743.0,0.117,808.284,0.06,1315553871298.0,1.943,499.422,106.79,73.541,111.703,1.151,95.902,8852.0,60.746,0
4951.0,44.46,35.948,50.724,6352174.0,5910.0,0.132,834.762,0.0618,1383943002621.0,1.917,596.59,110.343,77.521,119.74,1.173,101.303,8777.0,61.387,0
5079.0,46.31100000000001,37.231,54.087,6506275.0,6087.0,0.147,876.762,0.0643,1468006625051.0,1.888,701.54,115.491,81.643,125.52,0.672,107.314,9950.0,58.864,0
5183.0,48.24,38.576,57.528,6708086.0,6217.0,0.163,922.051,0.0671,1595799220682.0,1.885,812.71,120.991,85.92299999999999,130.53799999999998,0.6709999999999999,113.979,8923.0,56.7,0
5295.0,50.303,40.008,61.227,6857511.0,6370.0,0.179,979.512,0.071,1718152888140.0,1.89,941.058,128.918,90.515,137.188,0.672,121.555,9411.0,58.303,0
5422.0,52.792,41.677,66.21600000000001,6927309.0,6535.0,0.196,1120.0,0.0818,1838692472962.0,1.894,1159.0,150.154,96.276,151.49200000000005,0.672,131.39,10124.0,58.463,0
5618.0,55.926,43.69600000000001,73.372,6997107.0,6805.0,0.215,1337.0,0.0977,1957321566010.0,1.891,1552.0,181.794,103.832,175.898,0.672,143.911,13352.0,60.06100000000001,0
5788.0,58.62,45.527,78.344,7066905.0,7054.0,0.235,1198.0,0.0892,2071119322547.0,1.877,1786.0,164.748,109.974,181.642,0.6729999999999999,152.268,12305.0,62.619,0
5840.0,59.859,46.649,79.392,7136703.0,7116.0,0.254,722.163,0.0575,2180085742573.0,1.851,1742.0,101.012,111.731,149.566,0.631,151.045,7092.0,55.42,0
5876.0,60.575,47.521,79.661,7206501.0,7160.0,0.273,561.246,0.0462,2284220826087.0,1.814,1664.0,78.465,111.881,114.306,0.63,145.871,6360.0,53.934,1
5915.0,61.407,48.46,80.046,7276299.0,7215.0,0.29100000000000004,607.072,0.0492,2383524573089.0,1.767,1584.0,84.51299999999998,112.311,99.199,0.636,140.774,6595.0,52.733,1
5936.0,62.076,49.325,80.219,7346097.0,7258.0,0.307,556.932,0.0459,2477996983579.0,1.71,1498.0,77.867,112.197,94.144,0.63,133.59799999999998,5779.0,53.739,1
5958.0,62.627,50.13800000000001,80.252,7415895.0,7296.0,0.32299999999999995,523.689,0.0436,2567638057558.0,1.646,1411.0,73.141,111.674,90.576,0.64,122.676,5865.0,55.764,1
5958.0,62.899,50.81399999999999,80.054,7485694.0,7295.0,0.338,428.524,0.0375,2652447795025.0,1.5759999999999998,1333.0,60.844,110.28,81.865,0.598,105.483,4937.0,51.2,1
5959.0,63.225,51.51300000000001,79.884,7581583.0,7308.0,0.35100000000000003,423.267,0.0389,2758250272700.0,1.516,1257.0,62.878,108.993,78.399,0.616,91.088,5006.0,54.53100000000001,1
5957.0,63.917,52.395,80.018,7744331.0,7308.0,0.363,518.736,0.0473,2936841391024.0,1.496,1181.0,79.377,108.731,85.758,0.617,88.185,4878.0,52.825,1
