mining_profitability90trx,price30varUSD,activeaddresses30trx,sentinusd90stdUSD,top100cap14trx,mining_profitability90ema,difficulty14wma,transactionfees7trxUSD,top100cap30mom,top100cap90mom,mining_profitability7std,price3rsiUSD,top100cap14roc,category
0.091,343.5180000000001,0.5379999999999999,88825639,0.063,4403.0,6368099.0,4.663,0.6940000000000001,0.426,1354.0,99.456,3.135,1
0.104,405.594,0.569,100243842,0.07400000000000001,4482.0,6466725.0,4.561,0.677,0.4270000000000001,1331.0,99.811,3.526,1
0.117,499.422,0.611,110663079,0.085,4578.0,6547748.0,5.18,0.5920000000000001,0.366,1543.0,99.902,2.964,1
0.132,596.59,0.6629999999999999,119905933,0.094,4670.0,6611170.0,5.965,0.659,0.45,1837.0,99.919,3.139,0
0.147,701.54,0.716,126900119,0.1,4786.0,6698222.0,6.047999999999999,0.443,0.29,2233.0,99.941,2.439,0
0.163,812.71,0.762,128594677,0.103,4877.0,6853785.0,5.354,0.444,0.23,1945.0,99.959,2.527,0
0.179,941.058,0.8029999999999999,129459248,0.103,4977.0,6982440.0,4.788,0.261,0.141,1662.0,99.975,1.984,0
0.196,1159.0,0.852,134573612,0.1,5090.0,7091172.0,4.311,0.174,0.294,1370.0,99.99,1.255,0
0.215,1552.0,0.904,151305561,0.095,5272.0,7190598.0,4.22,0.301,0.329,2978.0,99.996,0.626,0
0.235,1786.0,0.968,176454530,0.09,5426.0,7280717.0,4.785,0.32,0.413,3244.0,68.465,0.471,0
0.254,1742.0,1.035,180576055,0.08900000000000001,5463.0,7361530.0,4.215,0.73,0.8079999999999999,3879.0,24.65,2.44,0
0.273,1664.0,1.094,180713935,0.091,5483.0,7433036.0,3.012,0.655,0.76,4717.0,18.382,1.384,1
0.29100000000000004,1584.0,1.135,180253241,0.094,5507.0,7495236.0,1.537,0.647,0.8540000000000001,5181.0,25.888,0.908,1
0.307,1498.0,1.156,179634857,0.097,5513.0,7548129.0,0.379,0.74,0.912,5738.0,22.478,1.527,1
0.32299999999999995,1411.0,1.1740000000000002,179207184,0.103,5521.0,7591716.0,-0.062,0.98,1.166,5947.0,19.679,2.1180000000000003,1
0.338,1333.0,1.188,179035829,0.112,5508.0,7625997.0,-0.995,1.125,1.3,4520.0,13.339,2.468,1
0.35100000000000003,1257.0,1.2,178779230,0.121,5497.0,7699674.0,-1.23,1.034,1.197,1482.0,21.773000000000003,2.011,1
0.363,1181.0,1.2,202838271,0.129,5483.0,7885369.0,-1.473,1.085,1.23,1304.0,59.235,2.186,1
0.375,1120.0,1.2,203379046,0.136,5499.0,8049365.0,-1.483,1.012,1.22,1257.0,72.99600000000002,2.98,1
0.386,1075.0,1.187,202740265,0.14300000000000002,5530.0,8194605.0,-1.213,1.165,1.329,1397.0,79.66199999999998,3.596,1
0.397,1028.0,1.161,202016545,0.15,5553.0,8327453.0,-1.203,1.16,1.341,1555.0,78.965,3.813,1
0.407,970.5,1.134,202157939,0.154,5565.0,8447907.0,-0.8909999999999999,1.1740000000000002,1.3,1568.0,74.935,4.212,1
0.416,914.725,1.108,202562157,0.158,5597.0,8555968.0,-0.35600000000000004,1.138,1.252,1604.0,85.51,4.088,1
0.426,880.7289999999998,1.084,205642605,0.157,5638.0,8651635.0,0.34600000000000003,0.866,1.152,1569.0,93.486,2.773,0
0.435,852.3989999999999,1.0590000000000002,206469517,0.154,5702.0,8734910.0,1.085,0.7909999999999999,1.177,1562.0,94.954,0.953,0
0.444,824.092,1.03,205881136,0.15,5736.0,8805791.0,1.124,0.75,1.067,1431.0,64.814,1.411,0
0.453,798.309,0.997,205093237,0.14300000000000002,5751.0,8864278.0,1.053,0.458,0.794,1508.0,44.25899999999999,0.14300000000000002,0
0.461,769.4680000000002,0.973,204541612,0.133,5796.0,8910373.0,0.726,0.32299999999999995,0.813,1530.0,38.056,0.173,0
0.469,743.0189999999999,0.947,205946817,0.12,5828.0,8944074.0,0.603,0.1,0.654,1205.0,61.359,-1.611,0
0.476,719.012,0.915,205547838,0.106,5841.0,9082731.0,0.775,0.242,0.599,1387.0,71.124,-2.097,0
0.483,696.544,0.8809999999999999,205059685,0.092,5852.0,9230196.0,0.49,0.194,0.705,1527.0,36.442,-1.143,0
0.488,693.883,0.8440000000000001,204385232,0.08,5841.0,9358252.0,0.244,0.191,0.7509999999999999,1489.0,18.079,-1.037,0
0.493,705.323,0.807,203620954,0.07,5823.0,9475812.0,-0.158,0.242,0.8190000000000001,1783.0,12.349,-0.953,1
0.498,713.182,0.764,203196164,0.06,5819.0,9582877.0,-0.495,0.213,0.797,1849.0,22.671,-1.672,1
0.501,712.21,0.718,202764894,0.052000000000000005,5829.0,9679447.0,-0.935,0.342,0.787,1387.0,52.681,-1.683,0
0.504,706.495,0.675,202138623,0.043,5821.0,9765522.0,-0.911,0.263,0.6890000000000001,1004.0,51.062,-2.056,0
0.507,690.4119999999998,0.643,201420038,0.034,5815.0,9841102.0,-0.988,0.331,0.7190000000000001,876.99,40.39,-2.06,0
0.509,620.663,0.618,200740124,0.026,5805.0,9906186.0,-0.755,0.4370000000000001,0.731,699.08,36.952,-0.907,0
0.51,405.733,0.59,200386240,0.019,5797.0,9960775.0,-0.502,0.423,0.762,688.8710000000002,30.996,-1.203,0
0.511,259.572,0.563,199721389,0.012,5797.0,10004869.0,-0.305,0.301,0.7340000000000001,566.948,51.957,-1.746,0
0.511,259.128,0.534,199056082,0.005,5800.0,10038468.0,-0.311,-0.161,0.6859999999999999,600.658,66.215,-0.685,1
0.511,247.201,0.501,198532769,-0.002,5786.0,10091550.0,-0.366,-0.126,0.6509999999999999,459.18300000000005,56.426,-0.8640000000000001,1
0.51,241.146,0.469,197573851,-0.008,5773.0,10250145.0,-0.261,-0.136,0.5710000000000001,521.7719999999998,61.976000000000006,-0.276,1
0.509,227.512,0.438,196741610,-0.014,5749.0,10387665.0,-0.311,-0.127,0.5870000000000001,766.921,26.17,-0.33,1
0.507,207.533,0.409,196130687,-0.019,5723.0,10512491.0,-0.343,-0.339,0.627,940.081,13.246,-0.545,1
0.504,158.959,0.381,195448046,-0.021,5707.0,10626737.0,0.208,-0.376,0.759,942.449,39.857,-0.362,1
0.502,113.564,0.353,194598385,-0.023,5697.0,10730402.0,0.439,-0.278,0.728,819.789,63.823,-0.585,1
0.499,99.055,0.322,193750095,-0.023,5686.0,10823486.0,0.204,-0.314,0.922,504.901,74.118,-0.445,1
0.495,96.427,0.287,193458655,-0.023,5669.0,10905989.0,0.204,-0.326,0.91,481.05,74.539,-0.382,1
0.491,96.632,0.251,193097493,-0.023,5648.0,10977912.0,0.136,-0.4370000000000001,0.909,480.611,76.421,0.067,1
0.487,96.537,0.22,192397310,-0.022,5647.0,11039255.0,0.029,-0.436,0.737,655.867,86.779,-0.066,1
0.483,96.287,0.189,191511846,-0.021,5638.0,11090017.0,0.112,-0.386,0.785,547.352,90.852,0.027000000000000003,1
0.479,95.812,0.161,190955103,-0.02,5641.0,11130198.0,0.262,-0.408,0.706,693.948,94.492,-0.122,1
0.474,86.575,0.138,190116802,-0.018000000000000002,5640.0,11159798.0,0.361,-0.16699999999999998,0.7829999999999999,734.727,98.0,0.399,1
0.47,72.165,0.113,189513580,-0.019,5639.0,11213951.0,0.5529999999999999,-0.481,0.655,761.0089999999999,98.671,-0.635,0
0.465,67.865,0.087,189589907,-0.021,5632.0,11348701.0,0.474,-0.512,0.69,685.425,98.859,-0.507,0
0.46,69.483,0.062,189031386,-0.023,5628.0,11465811.0,0.574,-0.191,0.728,368.733,91.37,-0.127,0
0.455,70.53399999999998,0.039,188400077,-0.025,5619.0,11573719.0,0.746,-0.207,0.742,401.305,52.015,-0.223,0
0.45,66.944,0.018000000000000002,187675617,-0.028,5613.0,11672426.0,0.895,-0.129,0.68,364.843,59.099,-0.593,0
0.445,59.442,0.0,187298143,-0.03,5612.0,11761931.0,0.7809999999999999,-0.142,0.713,281.269,67.431,-0.972,0
0.44,60.659,-0.018000000000000002,186753167,-0.033,5600.0,11842235.0,0.561,-0.278,0.609,351.534,51.552,-1.16,0
0.435,64.368,-0.037000000000000005,186121235,-0.036000000000000004,5606.0,11913337.0,0.204,-0.335,0.534,475.704,59.916,-1.155,0
0.429,60.54,-0.057,185683896,-0.038,5590.0,11975238.0,0.201,-0.34600000000000003,0.488,593.582,24.151,-1.0659999999999998,0
0.424,56.44300000000001,-0.075,185414736,-0.042,5582.0,12027937.0,0.42,-0.406,0.466,593.444,10.843,-1.554,0
0.418,56.24,-0.08900000000000001,185551204,-0.045,5572.0,12071435.0,0.488,-0.391,0.394,603.701,9.504,-1.494,0
0.413,55.893,-0.101,185339537,-0.048,5538.0,12280844.0,0.6859999999999999,-0.227,0.481,1072.0,19.007,-1.304,0
0.406,54.287,-0.113,184738296,-0.05,5501.0,12753727.0,0.366,-0.28,0.312,1313.0,14.949000000000002,-1.4680000000000002,0
0.4,52.303,-0.125,184154614,-0.052000000000000005,5462.0,13184530.0,-0.177,-0.31,0.301,1510.0,5.016,-1.6230000000000002,0
0.393,51.088,-0.14,184383762,-0.053,5426.0,13573254.0,-0.456,-0.285,0.438,1237.0,2.497,-0.249,0
0.385,54.048,-0.16,183915763,-0.052000000000000005,5376.0,13922407.0,-0.8540000000000001,-0.149,0.472,1419.0,1.394,0.034,0
0.378,59.32899999999999,-0.181,184189305,-0.051,5331.0,14238682.0,-1.3219999999999998,-0.12,0.449,1186.0,1.1,-0.336,0
0.37,62.19300000000001,-0.201,184205898,-0.049,5295.0,14522078.0,-1.414,-0.128,0.4,569.64,30.394,-0.48,0
0.361,64.186,-0.222,184039557,-0.046,5260.0,14772597.0,-1.337,-0.025,0.485,487.401,45.026,0.246,0
0.353,65.244,-0.241,183375565,-0.041,5215.0,14990237.0,-1.161,-0.05,0.563,509.43,36.516,0.124,0
0.344,66.782,-0.256,183669270,-0.037000000000000005,5175.0,15174998.0,-1.3530000000000002,-0.048,0.5920000000000001,483.565,17.817999999999994,0.605,1
0.336,72.793,-0.275,183628671,-0.031,5131.0,15326882.0,-1.388,-0.138,0.611,420.866,11.965,0.619,1
0.326,80.415,-0.297,184145966,-0.026,5089.0,15491632.0,-1.629,-0.079,0.677,405.807,13.679,0.748,1
0.317,87.99799999999998,-0.321,184655648,-0.02,5028.0,16072308.0,-1.786,-0.07,0.701,847.6260000000002,24.044,1.242,0
0.307,92.74,-0.342,185079742,-0.014,4973.0,16584548.0,-1.794,-0.055,0.631,879.822,62.664,1.307,0
0.297,96.269,-0.36,185627344,-0.008,4929.0,17028351.0,-1.735,-0.033,0.695,730.578,73.145,1.045,0
0.287,99.323,-0.374,185845261,-0.003,4885.0,17416225.0,-0.6829999999999999,-0.014,0.71,699.245,77.82300000000002,1.276,0
0.277,101.93,-0.385,186015829,0.003,4842.0,17768541.0,-0.066,-0.049,0.7390000000000001,588.374,79.635,1.347,0
0.267,105.389,-0.397,186356968,0.006999999999999999,4796.0,18085298.0,0.8,-0.064,0.6659999999999999,535.095,36.253,0.989,0
0.256,106.707,-0.412,187332659,0.011,4746.0,18366497.0,0.907,-0.063,0.635,465.659,21.605,0.8320000000000001,0
0.246,106.773,-0.424,187852730,0.014,4697.0,18612138.0,0.674,0.18,0.49,384.136,10.945,0.87,0
0.235,104.932,-0.436,187223727,0.017,4651.0,18822221.0,0.107,0.122,0.36,373.384,8.521,0.748,0
0.224,100.711,-0.444,187563148,0.019,4605.0,18996745.0,-0.301,0.076,0.343,340.136,23.967,0.38,0
0.214,98.647,-0.453,188118244,0.02,4562.0,19135711.0,-0.939,0.106,0.222,292.707,16.291,0.561,0
0.203,97.984,-0.457,188398079,0.022,4514.0,19239118.0,-1.159,0.175,0.146,206.975,6.528,0.524,0
0.192,96.917,-0.462,189005192,0.024,4465.0,19418779.0,-1.648,0.198,0.299,230.911,4.0539999999999985,0.705,0
0.181,93.193,-0.469,189775882,0.026,4410.0,19709226.0,-1.747,0.27,0.185,435.013,13.163,0.574,0
0.16899999999999998,90.558,-0.473,186968107,0.028,4358.0,19948372.0,-2.1830000000000003,0.33,0.187,497.985,6.265,0.836,0
0.158,91.27,-0.475,183928538,0.032,4305.0,20168508.0,-2.303,0.3670000000000001,0.264,532.806,4.328,1.039,0
0.147,95.736,-0.475,180690882,0.036000000000000004,4256.0,20369634.0,-2.415,0.464,0.272,477.715,3.221,0.92,0
0.135,101.759,-0.475,177994707,0.04,4201.0,20551749.0,-2.715,0.563,0.514,399.592,1.966,1.38,1
0.124,111.917,-0.474,177519919,0.046,4149.0,20714854.0,-2.803,0.56,0.596,334.969,0.948,1.722,1
0.112,131.22299999999998,-0.475,177736497,0.054000000000000006,4094.0,20858949.0,-2.846,0.726,0.777,304.226,0.474,2.471,1
0.1,143.57,-0.48,175641034,0.062,4039.0,20984034.0,-3.1630000000000003,0.7190000000000001,0.846,367.369,28.966,2.266,1
0.08900000000000001,151.065,-0.482,163919396,0.071,3989.0,21090109.0,-3.153,0.74,0.877,330.88699999999994,50.495,2.539,1
0.077,161.57299999999995,-0.48,138746603,0.08,3938.0,21177173.0,-2.934,0.6859999999999999,0.838,326.355,44.832,2.849,1
0.065,166.96,-0.477,133485457,0.087,3893.0,21245228.0,-2.842,0.6659999999999999,0.385,210.925,64.57,2.6060000000000003,1
