price90varUSD,mining_profitability90trx,top100cap90roc,difficulty90sma,mining_profitability90mom,price30varUSD,fee_to_reward14stdUSD,category
427.406,0.091,2.1830000000000003,3906368.0,4974.0,343.5180000000001,0.555,0
485.111,0.104,2.1790000000000003,3947659.0,5757.0,405.594,0.563,0
562.186,0.117,1.864,3988950.0,6575.0,499.422,0.541,0
643.239,0.132,2.302,4030241.0,6518.0,596.59,0.627,0
731.342,0.147,1.485,4074968.0,7877.0,701.54,0.627,0
827.367,0.163,1.171,4127116.0,6611.0,812.71,0.629,0
937.173,0.179,0.72,4179265.0,6962.0,941.058,0.5760000000000001,0
1096.0,0.196,1.514,4229880.0,8304.0,1159.0,0.578,0
1346.0,0.215,1.699,4279029.0,11242.0,1552.0,0.586,0
1534.0,0.235,2.133,4328179.0,10026.0,1786.0,0.527,0
1576.0,0.254,4.169,4377328.0,5145.0,1742.0,0.5429999999999999,0
1586.0,0.273,3.92,4426478.0,4077.0,1664.0,0.542,0
1602.0,0.29100000000000004,4.43,4475627.0,4304.0,1584.0,0.5660000000000001,0
1609.0,0.307,4.743,4524777.0,3409.0,1498.0,0.556,0
1610.0,0.32299999999999995,6.064,4573926.0,3941.0,1411.0,0.551,1
1602.0,0.338,6.7639999999999985,4623075.0,2563.0,1333.0,0.561,1
1595.0,0.35100000000000003,6.239,4676283.0,3013.0,1257.0,0.611,1
1601.0,0.363,6.4060000000000015,4739892.0,2400.0,1181.0,0.531,0
1617.0,0.375,6.356,4803500.0,3496.0,1120.0,0.547,0
1641.0,0.386,6.916,4867108.0,4565.0,1075.0,0.512,0
1663.0,0.397,6.992000000000001,4930717.0,4312.0,1028.0,0.599,0
1682.0,0.407,6.765,4994325.0,3277.0,970.5,0.598,0
1709.0,0.416,6.499,5058627.0,4534.0,914.725,0.591,0
1755.0,0.426,6.013,5125355.0,4322.0,880.7289999999998,0.599,0
1805.0,0.435,6.126,5192083.0,5828.0,852.3989999999999,0.5870000000000001,0
1841.0,0.444,5.513,5258811.0,3996.0,824.092,0.621,0
1864.0,0.453,4.096,5325539.0,3524.0,798.309,0.607,0
1881.0,0.461,4.1960000000000015,5392267.0,4843.0,769.4680000000002,0.675,0
1905.0,0.469,3.372,5458995.0,3953.0,743.0189999999999,0.619,0
1932.0,0.476,3.072,5535502.0,3167.0,719.012,0.619,0
1944.0,0.483,3.627,5614474.0,2620.0,696.544,0.504,0
1938.0,0.488,3.857,5693447.0,2339.0,693.883,0.541,0
1924.0,0.493,4.218,5772419.0,1784.0,705.323,0.499,0
1909.0,0.498,4.109,5851391.0,1683.0,713.182,0.499,0
1900.0,0.501,4.058,5930364.0,3132.0,712.21,0.47,0
1888.0,0.504,3.552,6007704.0,2261.0,706.495,0.472,0
1872.0,0.507,3.712,6083269.0,2584.0,690.4119999999998,0.451,0
1855.0,0.509,3.769,6158833.0,1918.0,620.663,0.408,0
1835.0,0.51,3.931,6234398.0,2034.0,405.733,0.452,0
1816.0,0.511,3.8,6309963.0,2281.0,259.572,0.464,0
1798.0,0.511,3.548,6385528.0,2177.0,259.128,0.463,0
1777.0,0.511,3.362,6463591.0,1665.0,247.201,0.384,0
1756.0,0.51,2.94,6551499.0,1591.0,241.146,0.3670000000000001,0
1730.0,0.509,3.018,6639408.0,439.607,227.512,0.379,0
1701.0,0.507,3.227,6727317.0,1012.0,207.533,0.408,0
1674.0,0.504,3.915,6815226.0,582.264,158.959,0.5429999999999999,0
1647.0,0.502,3.757,6903135.0,1037.0,113.564,0.542,0
1620.0,0.499,4.802,6991043.0,1143.0,99.055,0.555,0
1591.0,0.495,4.743,7074909.0,1601.0,96.427,0.496,0
1562.0,0.491,4.735,7158645.0,833.778,96.632,0.4920000000000001,0
1534.0,0.487,3.807,7242381.0,1105.0,96.537,0.475,0
1506.0,0.483,4.058,7326117.0,1433.0,96.287,0.473,0
1477.0,0.479,3.639,7409853.0,1582.0,95.812,0.467,0
1449.0,0.474,4.044,7493589.0,1674.0,86.575,0.481,0
1422.0,0.47,3.404,7580253.0,1808.0,72.165,0.495,0
1393.0,0.465,3.588,7674724.0,815.627,67.865,0.5770000000000001,0
1361.0,0.46,3.783,7769195.0,1510.0,69.483,0.5870000000000001,0
1327.0,0.455,3.855,7863666.0,984.604,70.53399999999998,0.58,0
1293.0,0.45,3.533,7958138.0,1210.0,66.944,0.535,0
1259.0,0.445,3.709,8050460.0,1451.0,59.442,0.305,0
1223.0,0.44,3.161,8136966.0,1291.0,60.659,0.297,0
1184.0,0.435,2.758,8223472.0,1855.0,64.368,0.355,0
1143.0,0.429,2.518,8309978.0,885.383,60.54,0.362,0
1102.0,0.424,2.411,8396484.0,1445.0,56.44300000000001,0.342,1
1063.0,0.418,2.033,8482990.0,482.219,56.24,0.338,1
1024.0,0.413,2.479,8584089.0,-996.03,55.893,0.343,1
985.028,0.406,1.599,8708953.0,-975.461,54.287,0.337,1
945.645,0.4,1.5419999999999998,8833817.0,-1440.0,52.303,0.338,1
905.92,0.393,2.257,8958681.0,-1435.0,51.088,0.335,1
865.7869999999998,0.385,2.427,9083545.0,-1697.0,54.048,0.31,1
823.4069999999998,0.378,2.3080000000000003,9208408.0,-1871.0,59.32899999999999,0.336,1
778.185,0.37,2.055,9333272.0,-1346.0,62.19300000000001,0.279,1
732.69,0.361,2.489,9454831.0,-1265.0,64.186,0.262,1
686.6039999999998,0.353,2.899,9574364.0,-1245.0,65.244,0.263,1
640.7180000000002,0.344,3.053,9693897.0,-1348.0,66.782,0.273,1
594.117,0.336,3.149,9813430.0,-1765.0,72.793,0.275,1
550.082,0.326,3.498,9936776.0,-1456.0,80.415,0.309,1
512.27,0.317,3.626,10097793.0,-2532.0,87.99799999999998,0.298,1
481.32,0.307,3.2510000000000003,10258811.0,-4318.0,92.74,0.304,1
456.669,0.297,3.588,10419829.0,-3714.0,96.269,0.246,1
433.334,0.287,3.665,10580847.0,-4064.0,99.323,0.515,1
407.301,0.277,3.819,10741865.0,-3687.0,101.93,0.515,1
382.518,0.267,3.4360000000000004,10894734.0,-2390.0,105.389,0.534,1
362.366,0.256,3.267,11035217.0,-2325.0,106.707,0.542,1
345.395,0.246,2.502,11175699.0,-2912.0,106.773,0.532,1
335.141,0.235,1.829,11316182.0,-3197.0,104.932,0.536,1
329.11,0.224,1.743,11456664.0,-4874.0,100.711,0.531,1
324.092,0.214,1.12,11597147.0,-3819.0,98.647,0.545,1
321.497,0.203,0.731,11737629.0,-4231.0,97.984,0.539,1
321.368,0.192,1.507,11887430.0,-4680.0,96.917,0.5710000000000001,1
323.753,0.181,0.927,12050091.0,-5247.0,93.193,0.5589999999999999,1
332.32,0.16899999999999998,0.934,12212752.0,-5957.0,90.558,0.594,1
342.2630000000001,0.158,1.32,12375413.0,-6923.0,91.27,0.5920000000000001,1
352.405,0.147,1.359,12538074.0,-6670.0,95.736,0.613,1
362.722,0.135,2.594,12697299.0,-8206.0,101.759,0.416,1
374.435,0.124,3.004,12849103.0,-7094.0,111.917,0.411,1
386.93,0.112,3.93,13000907.0,-7769.0,131.22299999999998,0.342,1
374.069,0.1,4.297,13152710.0,-8552.0,143.57,0.393,1
305.876,0.08900000000000001,4.4510000000000005,13304514.0,-11567.0,151.065,0.359,1
264.712,0.077,4.239,13456318.0,-10651.0,161.57299999999995,0.35200000000000004,1
274.874,0.065,1.908,13608121.0,-5200.0,166.96,0.342,1
279.731,0.053,2.275,13812948.0,-4874.0,163.602,0.34700000000000003,1
284.236,0.041,1.83,14018391.0,-5146.0,155.444,0.258,1
285.632,0.03,1.33,14223834.0,-3950.0,146.643,0.269,1
285.188,0.018000000000000002,-0.127,14429277.0,-4134.0,141.207,0.277,1
277.393,0.006,-0.957,14634720.0,-3239.0,137.378,0.284,1
271.137,-0.005,-0.517,14836105.0,-3313.0,133.23,0.271,1
273.135,-0.017,-0.379,15027089.0,-2976.0,128.392,0.271,1
277.728,-0.028,1.175,15218073.0,-4655.0,120.648,0.293,1
282.749,-0.039,0.018000000000000002,15409057.0,-5244.0,111.007,0.311,1
287.563,-0.051,-0.01,15600041.0,-4972.0,99.449,0.325,1
292.272,-0.062,0.047,15791026.0,-4331.0,86.485,0.305,1
294.758,-0.073,0.092,15993330.0,-5719.0,75.568,0.311,1
289.242,-0.084,0.83,16240915.0,-6213.0,66.207,0.311,1
279.003,-0.095,0.593,16488500.0,-6987.0,59.772,0.32,1
272.47700000000003,-0.106,0.422,16736086.0,-5886.0,54.477,0.335,1
268.915,-0.117,1.5319999999999998,16983671.0,-4980.0,48.716,0.349,1
266.35400000000004,-0.128,1.536,17231256.0,-6224.0,43.832,0.337,1
259.925,-0.138,2.218,17478841.0,-5937.0,42.018,0.333,1
249.622,-0.149,2.512,17716647.0,-4791.0,42.931,0.325,1
244.603,-0.159,2.326,17951988.0,-4745.0,44.667,0.312,1
243.909,-0.16899999999999998,2.613,18187329.0,-3823.0,49.67,0.359,1
244.219,-0.18,2.154,18422669.0,-3606.0,54.377,0.35,1
244.426,-0.19,2.336,18658010.0,-4046.0,58.173,0.336,1
243.086,-0.2,2.091,18925434.0,-4990.0,60.413,0.319,1
241.899,-0.209,2.4530000000000003,19228950.0,-4106.0,57.849,0.294,1
241.163,-0.219,2.143,19532466.0,-4285.0,46.674,0.301,1
240.401,-0.229,2.143,19835983.0,-3991.0,39.36,0.304,1
239.79,-0.238,2.273,20139499.0,-4143.0,35.0,0.293,1
238.827,-0.248,2.772,20443015.0,-4381.0,27.518,0.299,1
237.502,-0.257,2.7710000000000004,20746532.0,-4748.0,21.926,0.28300000000000003,1
236.41,-0.266,2.535,21047550.0,-3858.0,19.743,0.299,1
235.145,-0.276,3.168,21338722.0,-3911.0,18.934,0.292,1
234.551,-0.285,4.2410000000000005,21629895.0,-3436.0,19.045,0.324,1
