size3mom,price3rsiUSD,mining_profitability3roc,activeaddresses30mom,size30rsi,hashrate14mom,mediantransactionvalue7rsiUSD,mining_profitability7std,median_transaction_fee3trxUSD,mediantransactionvalue14rocUSD,size30trx,price7varUSD,mediantransactionvalue14rsiUSD,size30std,sentinusdUSD,priceUSD,sentbyaddress30var,hashrate3std,hashrate90roc,hashrate7trx,price7momUSD,top100cap,confirmationtime3ema,mediantransactionvalue14smaUSD,confirmationtime30ema,mediantransactionvalueUSD,median_transaction_fee7rocUSD,difficulty14var,category
-38565.0,99.456,11.668,26527,48.67100000000001,17734217715780.0,60.871,1354.0,3.721,17.119,-0.019,47.124,60.148,61285.0,136779480.0,94.715,41786951,9120893942289.0,169.207,1.91,25.57,19.962,7.882999999999999,54.928,8.368,64.987,36.98,761539976695.0,1
-12301.0,99.811,20.96,45815,52.003,16383817402884.0,75.133,1331.0,5.183,55.315,-0.015,70.017,69.764,61721.0,278422775.0,107.749,47486125,9102326460793.0,171.197,2.016,36.045,20.024,7.92,57.343,8.341000000000001,94.955,50.27,695426590110.0,1
36379.0,99.902,26.973000000000006,53604,52.771,15570142976346.0,77.547,1543.0,6.968,77.719,-0.006,147.237,71.628,62497.0,284039909.0,120.003,64654761,4382926598167.0,154.039,1.991,40.765,19.987,8.074,60.54600000000001,8.334,102.533,51.448,594458447418.0,1
82312.0,99.919,21.568,51496,55.88399999999999,2607466853785.0,82.868,1837.0,7.181,148.975,0.013,212.638,75.998,65394.0,282809750.0,123.562,85452388,5604231281746.0,144.48,1.734,37.81,19.99,8.712,65.817,8.399,123.314,44.093,458635548619.0,1
14623.0,99.941,24.533,30883,52.846,-2893323456757.0,83.28399999999998,2233.0,6.652,136.282,0.034,252.534,76.351,65074.0,264855827.0,128.664,102026223,6941518587731.0,129.366,1.2990000000000002,42.073,19.833,8.913,70.97399999999998,8.446,125.183,48.589,303649731270.0,1
-25642.0,99.959,0.809,16719,50.032,9447687230248.0,54.42,1945.0,5.981,116.499,0.052000000000000005,254.364,58.885,62919.0,178261986.0,134.114,102441468,8304863333104.0,197.729,1.134,46.659,19.833,8.874,74.44,8.471,90.165,53.353,163650815957.0,1
-16156.0,99.975,7.226,30502,53.815,2446401956702.0,41.903,1662.0,5.654,60.875,0.07400000000000001,220.99400000000003,49.819,65397.0,154226371.0,142.08,100672517,9882068371770.0,175.56900000000005,1.11,53.03,19.767,8.827,76.17699999999998,8.491,64.295,59.552,117098288072.0,1
5051.0,99.99,1.749,59772,52.905,11243539115034.0,65.581,1370.0,6.915,171.667,0.099,273.418,64.78699999999999,66811.0,249416807.0,163.561,105592143,1246313681552.0,156.27100000000004,1.146,68.845,19.689,9.059,82.073,8.542,130.618,72.687,157860879016.0,1
20562.0,99.996,49.628,55081,51.504,14876381397420.0,76.234,2978.0,9.62,183.895,0.122,622.056,72.973,66511.0,405474208.0,195.397,122951117,2031418385078.0,207.663,1.229,87.647,19.714,8.62,91.009,8.519,193.144,81.344,188879915695.0,0
-36969.0,68.465,30.743,79926,50.57899999999999,24507905677094.0,87.10600000000002,3244.0,7.834,440.311,0.141,641.4680000000002,82.943,66465.0,513296957.0,178.5,150691678,5815871392440.0,203.899,1.436,58.497,19.762,8.08,110.751,8.456,339.149,48.746,210155398108.0,0
