mining_profitability90wma,mining_profitability90trx,price90rocUSD,difficulty90std,price90varUSD,difficulty14trx,category
4650.0,0.091,606.456,2161986.0,427.406,1.93,1
4740.0,0.104,716.2180000000002,2230475.0,485.111,1.948,1
4847.0,0.117,808.284,2293952.0,562.186,1.943,0
4951.0,0.132,834.762,2352822.0,643.239,1.917,0
5079.0,0.147,876.762,2423226.0,731.342,1.888,0
5183.0,0.163,922.051,2526499.0,827.367,1.885,0
5295.0,0.179,979.512,2621567.0,937.173,1.89,0
5422.0,0.196,1120.0,2711968.0,1096.0,1.894,0
5618.0,0.215,1337.0,2798086.0,1346.0,1.891,0
5788.0,0.235,1198.0,2878277.0,1534.0,1.877,0
5840.0,0.254,722.163,2953023.0,1576.0,1.851,0
5876.0,0.273,561.246,3022728.0,1586.0,1.814,1
5915.0,0.29100000000000004,607.072,3087734.0,1602.0,1.767,1
5936.0,0.307,556.932,3148331.0,1609.0,1.71,1
5958.0,0.32299999999999995,523.689,3204770.0,1610.0,1.646,1
5958.0,0.338,428.524,3257267.0,1602.0,1.5759999999999998,1
5959.0,0.35100000000000003,423.267,3321596.0,1595.0,1.516,1
5957.0,0.363,518.736,3427443.0,1601.0,1.496,1
5983.0,0.375,597.4540000000002,3525530.0,1617.0,1.497,1
6024.0,0.386,646.552,3616489.0,1641.0,1.505,0
6057.0,0.397,622.331,3700845.0,1663.0,1.514,1
6077.0,0.407,582.217,3779040.0,1682.0,1.517,1
6118.0,0.416,609.5319999999998,3850125.0,1709.0,1.5119999999999998,0
6167.0,0.426,695.867,3910624.0,1755.0,1.497,0
6239.0,0.435,730.5989999999998,3965714.0,1805.0,1.473,0
6281.0,0.444,674.4639999999998,4015615.0,1841.0,1.44,0
6304.0,0.453,630.826,4060520.0,1864.0,1.399,1
6355.0,0.461,600.305,4100593.0,1881.0,1.351,1
6394.0,0.469,604.245,4135974.0,1905.0,1.298,0
6413.0,0.476,608.659,4203084.0,1932.0,1.269,0
6430.0,0.483,532.224,4273705.0,1944.0,1.259,1
6425.0,0.488,449.258,4337430.0,1938.0,1.258,1
6412.0,0.493,412.829,4394560.0,1924.0,1.258,1
6413.0,0.498,424.6880000000001,4445347.0,1909.0,1.256,1
6426.0,0.501,464.06,4490009.0,1900.0,1.249,1
6421.0,0.504,461.834,4533001.0,1888.0,1.235,1
6418.0,0.507,439.085,4574842.0,1872.0,1.214,1
6409.0,0.509,416.517,4611353.0,1855.0,1.186,1
6402.0,0.51,392.975,4642661.0,1835.0,1.153,1
6402.0,0.511,384.918,4668870.0,1816.0,1.114,0
6404.0,0.511,383.653,4690065.0,1798.0,1.071,0
6390.0,0.511,371.367,4714220.0,1777.0,1.031,0
6375.0,0.51,365.605,4767904.0,1756.0,1.016,0
6349.0,0.509,347.952,4814574.0,1730.0,1.015,0
6320.0,0.507,315.574,4854432.0,1701.0,1.019,0
6300.0,0.504,305.8640000000001,4887645.0,1674.0,1.023,0
6286.0,0.502,316.266,4914349.0,1647.0,1.025,0
6270.0,0.499,325.003,4934647.0,1620.0,1.021,0
6248.0,0.495,325.655,4960435.0,1591.0,1.012,0
6221.0,0.491,308.758,4980809.0,1562.0,0.997,0
6214.0,0.487,298.335,4995489.0,1534.0,0.976,0
6198.0,0.483,298.53,5004525.0,1506.0,0.95,0
6193.0,0.479,305.7290000000001,5007947.0,1477.0,0.92,0
6184.0,0.474,329.53,5005767.0,1449.0,0.8859999999999999,0
6176.0,0.47,343.935,5006734.0,1422.0,0.855,0
6160.0,0.465,347.056,5027426.0,1393.0,0.8420000000000001,0
6147.0,0.46,340.462,5040956.0,1361.0,0.84,0
6128.0,0.455,321.21,5047382.0,1327.0,0.841,0
6112.0,0.45,303.086,5046732.0,1293.0,0.8420000000000001,0
6101.0,0.445,282.851,5046336.0,1259.0,0.841,0
6078.0,0.44,281.737,5057770.0,1223.0,0.836,0
6073.0,0.435,290.993,5063269.0,1184.0,0.8270000000000001,0
6046.0,0.429,272.185,5062853.0,1143.0,0.813,0
6025.0,0.424,228.541,5056521.0,1102.0,0.795,0
6003.0,0.418,206.963,5044251.0,1063.0,0.773,0
5956.0,0.413,200.318,5074925.0,1024.0,0.7759999999999999,0
5905.0,0.406,189.145,5205155.0,985.028,0.8390000000000001,0
5852.0,0.4,166.48,5320497.0,945.645,0.934,0
5801.0,0.393,148.964,5421900.0,905.92,1.041,0
5736.0,0.385,134.785,5510136.0,865.7869999999998,1.146,0
5676.0,0.378,135.92,5585826.0,823.4069999999998,1.24,0
5623.0,0.37,149.042,5649477.0,778.185,1.318,0
5571.0,0.361,149.52100000000004,5712936.0,732.69,1.3769999999999998,0
5509.0,0.353,145.309,5772221.0,686.6039999999998,1.416,0
5452.0,0.344,132.922,5821094.0,640.7180000000002,1.436,0
5389.0,0.336,128.201,5859814.0,594.117,1.439,0
5327.0,0.326,116.939,5903692.0,550.082,1.433,0
5247.0,0.317,96.268,6126009.0,512.27,1.482,0
5172.0,0.307,79.49600000000002,6324158.0,481.32,1.557,0
5108.0,0.297,64.253,6500350.0,456.669,1.638,0
5043.0,0.287,60.978,6656328.0,433.334,1.713,0
