activeaddresses30trx,mining_profitability90trx,priceUSD,price30varUSD,price30stdUSD,mining_profitability90sma,sentinusd90varUSD,top100cap14trx,top100cap90wma,price90rocUSD,hashrate14std,price30momUSD,difficulty90std,price90momUSD,top100cap30roc,mining_profitability3wma,difficulty7trx,top100cap30rsi,top100cap,price7momUSD,price7rsiUSD,top100cap14roc,price3trxUSD,top100cap14mom,mediantransactionvalueUSD,category
0.5379999999999999,0.091,94.715,343.5180000000001,37.06800000000001,3913.0,1972498548856190.0,0.063,19.428,606.456,11490406893431.0,61.597,2161986.0,81.308,3.6,7035.0,2.593,65.405,19.962,25.57,96.992,3.135,3.723,0.607,64.987,1
0.569,0.104,107.749,405.594,40.279,3977.0,2512206975337500.0,0.07400000000000001,19.442,716.2180000000002,11315233330806.0,75.291,2230475.0,94.548,3.498,7564.0,2.333,66.711,20.024,36.045,98.201,3.526,5.184,0.682,94.955,1
0.611,0.117,120.003,499.422,44.695,4050.0,3061579276452069.0,0.085,19.454,808.284,10182774073258.0,86.649,2293952.0,106.79,3.051,8293.0,2.064,65.191,19.987,40.765,98.752,2.964,6.968,0.575,102.533,1
0.6629999999999999,0.132,123.562,596.59,48.85,4122.0,3594358184437960.0,0.094,19.467,834.762,10042649490131.0,86.935,2352822.0,110.343,3.408,8671.0,1.801,65.257,19.99,37.81,98.869,3.139,7.181,0.608,123.314,0
0.716,0.147,128.664,701.54,52.973,4210.0,4025910039371692.0,0.1,19.477,876.762,10254314157412.0,89.67399999999998,2423226.0,115.491,2.285,9376.0,1.634,59.122,19.833,42.073,99.022,2.439,6.652,0.472,125.183,0
0.762,0.163,134.114,812.71,57.01600000000001,4283.0,4134147712896400.0,0.103,19.486,922.051,10516744526294.0,94.124,2526499.0,120.991,2.292,9241.0,1.673,59.132,19.833,46.659,99.164,2.527,5.982,0.489,90.165,0
0.8029999999999999,0.179,142.08,941.058,61.353,4360.0,4189924253778543.0,0.103,19.494,979.512,10841862131140.0,100.79,2621567.0,128.918,1.339,9339.0,1.756,56.71100000000001,19.767,53.03,99.329,1.984,5.654,0.385,64.295,0
0.852,0.196,163.561,1159.0,68.074,4453.0,4527514247110103.0,0.1,19.499,1120.0,11052546653601.0,120.4,2711968.0,150.154,0.889,9687.0,1.81,54.048,19.689,68.845,99.587,1.255,6.915,0.244,130.618,0
0.904,0.215,195.397,1552.0,78.796,4578.0,5723343167897318.0,0.095,19.506,1337.0,10949074860693.0,150.97799999999995,2798086.0,181.794,1.5490000000000002,11619.0,1.809,54.76300000000001,19.714,87.647,99.752,0.626,9.62,0.123,193.144,0
0.968,0.235,178.5,1786.0,84.51899999999998,4689.0,7784050314044818.0,0.09,19.513,1198.0,10017080685539.0,133.379,2878277.0,164.748,1.646,12290.0,1.755,56.115,19.762,58.497,79.994,0.471,7.834,0.093,339.149,0
1.035,0.254,115.0,1742.0,83.463,4746.0,8151927879557629.0,0.08900000000000001,19.53,722.163,9663219377109.0,70.892,2953023.0,101.012,3.752,9873.0,1.656,65.535,20.19,-8.561,42.81399999999999,2.44,0.335,0.481,115.115,0
1.094,0.273,92.446,1664.0,81.59100000000002,4791.0,8164381542221686.0,0.091,19.545,561.246,9677588973797.0,49.659,3022728.0,78.465,3.362,7595.0,1.528,63.745,20.136,-36.218,35.9,1.384,-5.735,0.275,98.599,1
1.135,0.29100000000000004,98.435,1584.0,79.6,4839.0,8122807695514600.0,0.094,19.561,607.072,9520248625628.0,55.132,3087734.0,84.51299999999998,3.317,6600.0,1.384,63.785,20.138,-35.67800000000001,38.954,0.908,-7.92,0.181,70.79899999999998,1
1.156,0.307,91.849,1498.0,77.413,4877.0,8067170488348222.0,0.097,19.576,556.932,8642170438363.0,48.253,3148331.0,77.867,3.814,6148.0,1.233,63.997,20.149,-50.231,36.71,1.527,-8.509,0.303,48.534,1
1.1740000000000002,0.32299999999999995,87.10799999999998,1411.0,75.138,4921.0,8028803704851272.0,0.103,19.596,523.689,8456329193286.0,42.949,3204770.0,73.141,5.048,5958.0,1.085,68.17699999999999,20.385,-76.453,35.016,2.1180000000000003,-8.286,0.423,69.25399999999999,1
1.188,0.338,75.043,1333.0,73.028,4949.0,8013457056821549.0,0.112,19.619,428.524,9003122564089.0,31.112,3257267.0,60.844,5.801,5387.0,0.943,70.193,20.518,-120.354,30.797,2.468,-8.562999999999999,0.494,54.82100000000001,1
1.2,0.35100000000000003,77.734,1257.0,70.916,4983.0,7990503288007726.0,0.121,19.639,423.267,9283783720397.0,31.474,3321596.0,62.878,5.34,5126.0,0.89,65.99600000000001,20.389,-100.765,32.901,2.011,-7.697999999999999,0.402,70.344,1
1.2,0.363,94.679,1181.0,68.73100000000001,5009.0,1.028584101527e+16,0.129,19.659,518.736,9335855483737.0,43.297,3427443.0,79.377,5.6110000000000015,4930.0,1.0659999999999998,66.60600000000001,20.427,-20.321,45.151,2.186,-4.0139999999999985,0.4370000000000001,91.957,1
1.2,0.375,106.7,1120.0,66.925,5048.0,1.03407590766357e+16,0.136,19.679,597.4540000000002,6867867583257.0,48.948,3525530.0,91.401,5.214,5559.0,1.285,66.502,20.424,14.254,52.351000000000006,2.98,0.5670000000000001,0.591,91.794,1
1.187,0.386,114.48,1075.0,65.561,5099.0,1.02759037570909e+16,0.14300000000000002,19.701,646.552,6669387347744.0,50.49100000000001,3616489.0,99.145,6.011,6323.0,1.463,68.447,20.546,16.045,56.648,3.596,3.943,0.713,63.022,1
1.161,0.397,114.295,1028.0,64.134,5147.0,1.02026710857112e+16,0.15,19.722,622.331,8795120977447.0,48.555,3700845.0,98.471,5.989,6637.0,1.565,67.578,20.52,22.445,56.506,3.813,4.759,0.754,73.62,1
1.134,0.407,113.535,970.5,62.306,5183.0,1.02169580937716e+16,0.154,19.743,582.217,9262090593183.0,49.918,3779040.0,96.892,6.068,6384.0,1.592,67.509,20.518,26.427,55.839,4.212,4.0680000000000005,0.8290000000000001,85.425,1
1.108,0.416,120.78,914.725,60.489,5234.0,1.02578568307853e+16,0.158,19.764,609.5319999999998,9756455715691.0,56.01,3850125.0,103.757,5.872000000000001,6651.0,1.556,67.54,20.52,45.737,60.969,4.088,3.894,0.8059999999999999,72.2,1
1.084,0.426,134.8,880.7289999999998,59.354,5282.0,1.0572220255092e+16,0.157,19.78,695.867,10312006913815.0,65.655,3910624.0,117.862,4.452,7097.0,1.473,60.742,20.311,57.066,69.079,2.773,4.945,0.5479999999999999,77.78699999999998,0
1.0590000000000002,0.435,139.74,852.3989999999999,58.392,5347.0,1.06574153798813e+16,0.154,19.797,730.5989999999998,10452935405119.0,68.036,3965714.0,122.916,4.035,7935.0,1.36,62.091,20.382,45.06100000000001,71.513,0.953,5.3820000000000014,0.192,91.25,0
1.03,0.444,132.945,824.092,57.414,5391.0,1.05967605393288e+16,0.15,19.814,674.4639999999998,11647852386545.0,53.707,4015615.0,115.778,3.812,7715.0,1.23,62.787,20.42,26.244,63.494,1.411,4.02,0.284,91.286,0
0.997,0.453,126.316,798.309,56.50899999999999,5430.0,1.05158089265048e+16,0.14300000000000002,19.826,630.826,11293138719176.0,40.564,4060520.0,109.032,2.323,7055.0,1.095,55.678,20.167,11.836,56.308,0.14300000000000002,1.987,0.029,85.83200000000002,0
0.973,0.461,124.045,769.4680000000002,55.479,5484.0,1.04593177107224e+16,0.133,19.838,600.305,10376414760999.0,37.454,4100593.0,106.332,1.625,7238.0,0.961,56.022,20.183,9.75,53.872,0.173,0.458,0.035,72.582,0
0.947,0.469,130.56,743.0189999999999,54.517,5528.0,1.06035228595987e+16,0.12,19.847,604.245,10144839016362.0,43.106,4135974.0,112.021,0.501,7294.0,0.835,52.838,20.057,17.025,59.708,-1.611,0.34,-0.328,91.261,0
0.915,0.476,134.465,719.012,53.629,5563.0,1.05624784497685e+16,0.106,19.857,608.659,10662886872052.0,45.415,4203084.0,115.49,1.22,6913.0,0.877,53.512,20.088,13.684,62.982,-2.097,0.79,-0.43,75.671,0
0.8809999999999999,0.483,124.662,696.544,52.784,5592.0,1.05123685640443e+16,0.092,19.868,532.224,10397162169981.0,29.947,4273705.0,104.944,0.971,6512.0,1.007,54.959,20.156,-10.138,50.872,-1.143,0.03,-0.233,88.1,0
0.8440000000000001,0.488,111.049,693.883,52.683,5618.0,1.04433307181248e+16,0.08,19.88,449.258,10460884445442.0,3.3,4337430.0,90.831,0.956,5855.0,1.133,56.19,20.215,-28.691,38.789,-1.037,-1.819,-0.212,71.153,0
0.807,0.493,102.694,705.323,53.11600000000001,5638.0,1.03653732104424e+16,0.07,19.892,412.829,7802845241076.0,-17.308,4394560.0,82.669,1.212,5363.0,1.217,56.479,20.229,-30.25,33.151,-0.953,-3.528,-0.195,71.191,1
