mining_profitability90trx,activeaddresses90var,mining_profitability90mom,mining_profitability14var,top100cap30trx,median_transaction_feeUSD,mining_profitability,top100cap90roc,category
0.091,82659141,4974.0,736163.0,0.011,0.0474,7220.0,2.1830000000000003,0
0.104,93587018,5757.0,751741.0,0.014,0.0539,7990.0,2.1790000000000003,0
0.117,119931071,6575.0,1116414.0,0.017,0.06,8852.0,1.864,0
0.132,146568407,6518.0,1418707.0,0.02,0.0618,8777.0,2.302,0
0.147,164680970,7877.0,2082572.0,0.023,0.0643,9950.0,1.485,0
0.163,167334419,6611.0,2309302.0,0.026,0.0671,8923.0,1.171,0
0.179,174998891,6962.0,2274547.0,0.028,0.071,9411.0,0.72,0
0.196,206269076,8304.0,2134668.0,0.03,0.0818,10124.0,1.514,0
0.215,234652099,11242.0,3563293.0,0.032,0.0977,13352.0,1.699,0
0.235,291393310,10026.0,3928726.0,0.033,0.0892,12305.0,2.133,0
0.254,333892691,5145.0,4007207.0,0.035,0.0575,7092.0,4.169,0
0.273,349519493,4077.0,4044145.0,0.037000000000000005,0.0462,6360.0,3.92,0
0.29100000000000004,352764896,4304.0,4047471.0,0.04,0.0492,6595.0,4.43,0
0.307,348988094,3409.0,4461914.0,0.042,0.0459,5779.0,4.743,0
0.32299999999999995,362646540,3941.0,4882989.0,0.045,0.0436,5865.0,6.064,1
0.338,376075002,2563.0,5797867.0,0.048,0.0375,4937.0,6.7639999999999985,1
0.35100000000000003,393177207,3013.0,6559205.0,0.051,0.0389,5006.0,6.239,1
0.363,395243917,2400.0,7233185.0,0.054000000000000006,0.0473,4878.0,6.4060000000000015,0
0.375,408681050,3496.0,7067239.0,0.058,0.0534,6198.0,6.356,0
0.386,404579949,4565.0,6966124.0,0.061,0.0572,6887.0,6.916,0
0.397,399699859,4312.0,6715105.0,0.065,0.0571,6616.0,6.992000000000001,0
0.407,404096543,3277.0,6162104.0,0.068,0.0568,6062.0,6.765,0
0.416,406509962,4534.0,3073668.0,0.07200000000000001,0.0604,7056.0,6.499,0
0.426,418818970,4322.0,645980.0,0.075,0.0674,7469.0,6.013,0
0.435,420030836,5828.0,969112.0,0.077,0.0699,8539.0,6.126,0
0.444,420859043,3996.0,1028564.0,0.079,0.0665,7248.0,5.513,0
0.453,417250856,3524.0,1024992.0,0.081,0.0632,6431.0,4.096,0
0.461,440041848,4843.0,1124606.0,0.08199999999999999,0.062,7773.0,4.1960000000000015,0
0.469,440507768,3953.0,1127968.0,0.083,0.0653,7263.0,3.372,0
0.476,433132044,3167.0,923164.0,0.083,0.0672,6393.0,3.072,0
0.483,428660761,2620.0,718045.0,0.083,0.0623,6340.0,3.627,0
0.488,429260989,2339.0,603136.0,0.08199999999999999,0.0555,5352.0,3.857,0
0.493,427990879,1784.0,795285.0,0.08199999999999999,0.0513,5046.0,4.218,0
0.498,425670412,1683.0,871146.0,0.081,0.0525,5658.0,4.109,0
0.501,423207076,3132.0,881713.0,0.08,0.0567,6262.0,4.058,0
0.504,423257607,2261.0,955507.0,0.078,0.0565,5457.0,3.552,0
0.507,433680697,2584.0,1003721.0,0.077,0.0552,5568.0,3.712,0
0.509,440436171,1918.0,1003028.0,0.075,0.0548,5355.0,3.769,0
0.51,439093724,2034.0,664000.0,0.073,0.0542,5442.0,3.931,0
0.511,436740820,2281.0,569383.0,0.071,0.0553,5770.0,3.8,0
0.511,434064460,2177.0,555744.0,0.069,0.0563,5926.0,3.548,0
0.511,428795734,1665.0,332926.0,0.066,0.112,5199.0,3.362,0
0.51,423585176,1591.0,181806.0,0.064,0.0561,5179.0,2.94,0
0.509,418962654,439.607,193025.0,0.061,0.0543,4670.0,3.018,0
0.507,413425692,1012.0,190434.0,0.059,0.0523,4587.0,3.227,0
0.504,406754076,582.264,201553.0,0.056,0.0535,4982.0,3.915,0
0.502,397311726,1037.0,195388.0,0.054000000000000006,0.0552,5231.0,3.757,0
0.499,387348472,1143.0,190859.0,0.051,0.0564,5206.0,4.802,0
0.495,379370421,1601.0,133946.0,0.049,0.0565,4934.0,4.743,0
0.491,371181791,833.778,150104.0,0.047,0.0566,4693.0,4.735,0
0.487,363621203,1105.0,153720.0,0.045,0.0576,5631.0,3.807,0
0.483,355578998,1433.0,151908.0,0.043,0.0583,5211.0,4.058,0
0.479,349664944,1582.0,171947.0,0.041,0.0593,5784.0,3.639,0
0.474,342077868,1674.0,159746.0,0.039,0.0623,5588.0,4.044,0
0.47,335133825,1808.0,133525.0,0.037000000000000005,0.0639,5608.0,3.404,0
0.465,330603949,815.627,134670.0,0.034,0.0644,5311.0,3.588,0
0.46,326371322,1510.0,139237.0,0.032,0.0642,5450.0,3.783,0
0.455,320014904,984.604,117180.0,0.03,0.0629,5226.0,3.855,0
0.45,315772932,1210.0,83960.0,0.028,0.0632,5342.0,3.533,0
0.445,312764866,1451.0,80107.0,0.026,0.0636,5567.0,3.709,0
0.44,302582679,1291.0,84342.0,0.023,0.0632,5071.0,3.161,0
0.435,291399038,1855.0,101422.0,0.021,0.0647,5865.0,2.758,0
0.429,285777890,885.383,103600.0,0.019,0.0621,4901.0,2.518,0
0.424,279871426,1445.0,71041.0,0.016,0.0602,5209.0,2.411,1
0.418,278450603,482.219,71688.0,0.014,0.0598,5139.0,2.033,1
0.413,276198497,-996.03,192965.0,0.011,0.06,4025.0,2.479,1
0.406,270275726,-975.461,309113.0,0.009000000000000001,0.0597,3829.0,1.599,1
0.4,262777881,-1440.0,421739.0,0.006999999999999999,0.0575,3733.0,1.5419999999999998,1
0.393,262115233,-1435.0,481342.0,0.004,0.0553,3834.0,2.257,1
0.385,260326345,-1697.0,666058.0,0.002,0.053,3133.0,2.427,1
0.378,259757945,-1871.0,743355.0,0.0,0.052000000000000005,3358.0,2.3080000000000003,1
0.37,258451692,-1346.0,759852.0,-0.001,0.0533,3690.0,2.055,1
0.361,257339217,-1265.0,738130.0,-0.003,0.054000000000000006,3678.0,2.489,1
0.353,256299205,-1245.0,696135.0,-0.004,0.0535,3238.0,2.899,1
0.344,246257426,-1348.0,671638.0,-0.005,0.0514,3401.0,3.053,1
0.336,245063182,-1765.0,463508.0,-0.006,0.0501,3173.0,3.149,1
0.326,251292333,-1456.0,409271.0,-0.006,0.0502,3180.0,3.498,1
0.317,256209548,-2532.0,362643.0,-0.006999999999999999,0.0504,2330.0,3.626,1
