price3rsiUSD,fee_to_reward3stdUSD,difficulty14var,transactions7var,price7rocUSD,price3trxUSD,size90roc,transactions3var,price3rocUSD,activeaddresses7trx,price30rocUSD,price7rsiUSD,size90mom,confirmationtime30sma,price3momUSD,size90sma,mediantransactionvalue14rocUSD,hashrate30mom,mediantransactionvalue14momUSD,price14rsiUSD,fee_to_rewardUSD,price7momUSD,hashrate14trx,price30rsiUSD,activeaddresses,mediantransactionvalueUSD,top100cap90rsi,fee_to_reward14emaUSD,priceUSD,transactionvalueUSD,size3sma,hashrate7std,confirmationtime14wma,median_transaction_feeUSD,confirmationtime3ema,confirmationtime,category
99.456,0.494,761539976695.0,38380777.0,36.98,3.723,56.409,38831985.0,9.383,1.516,185.993,96.992,50223.0,8.4,8.125,154528.0,17.119,33289359261546.0,9.499,95.075,0.867,25.57,2.0,93.774,75756,64.987,50.301,1.189,94.715,2592.0,158276.0,11901094115686.0,8.318,0.0474,7.882999999999999,7.273,1
99.811,0.385,695426590110.0,41064926.0,50.27,5.184,53.794,62113871.0,23.206,1.611,231.96400000000003,98.201,61367.0,8.367,20.295,155210.0,55.315,28898599580993.0,33.818000000000005,96.416,1.338,36.045,2.017,94.987,91875,94.955,50.893,1.209,107.749,4400.0,154176.0,11887441553889.0,8.3,0.0539,7.92,7.956,1
99.902,0.604,594458447418.0,45047715.0,51.448,6.968,70.527,26276601.0,34.759,2.166,259.795,98.752,76185.0,8.373,30.953000000000007,156056.0,77.719,22644792950968.0,44.839,97.19,1.596,40.765,2.015,95.785,107142,102.533,50.53,1.26,120.003,4478.0,166303.0,7672492273609.0,8.324,0.06,8.074,8.229,1
99.919,0.499,458635548619.0,54314709.0,44.093,7.181,56.24100000000001,2506053.0,30.456,2.797,237.355,98.869,79757.0,8.339,28.846,156943.0,148.975,20952983860921.0,73.786,97.368,1.948,37.81,1.969,95.977,108890,123.314,50.559,1.352,123.562,4249.0,193740.0,7013418016731.0,8.484,0.0618,8.712,9.351,1
99.941,0.43,303649731270.0,53572936.0,48.589,6.652,60.746,5093768.0,19.411,3.094,229.992,99.022,71827.0,8.334,20.915,157741.0,136.282,18052965546765.0,72.203,97.602,1.432,42.073,1.873,96.233,100034,125.183,49.033,1.3630000000000002,128.664,4348.0,198614.0,8735347100869.0,8.586,0.0643,8.913,9.114,1
99.959,0.8170000000000001,163650815957.0,59507406.0,53.353,5.982,57.608,39371402.0,11.759,2.801,235.372,99.164,57958.0,8.328,14.111,158385.0,116.499,29481914738664.0,48.518,97.825,0.947,46.659,1.8,96.479,83086,90.165,49.037,1.307,134.114,3458.0,190067.0,9094706513828.0,8.624,0.0671,8.874,8.834,1
99.975,0.41,117098288072.0,29681200.0,59.552,5.654,94.885,26416614.0,14.987,2.365,244.103,99.329,100010.0,8.321,18.518,159496.0,60.875,27921624910729.0,24.329,98.103,1.3019999999999998,53.03,1.745,96.797,87097,64.295,48.404,1.307,142.08,2445.0,184681.0,8740512343785.0,8.634,0.071,8.827,8.78,1
99.99,0.295,157860879016.0,19648358.0,72.687,6.915,30.685,26954499.0,27.122,2.425,278.959,99.587,45815.0,8.346,34.896,160005.0,171.667,27667086857724.0,82.537,98.616,1.183,68.845,1.7009999999999998,97.44,113894,130.618,47.679,1.29,163.561,4044.0,186365.0,8053492716857.0,8.701,0.0818,9.059,9.29,1
99.996,0.158,188879915695.0,22905042.0,81.344,9.62,20.758000000000006,4780518.0,45.695,2.582,339.904,99.752,30792.0,8.357000000000001,61.283,160347.0,183.895,26026202102526.0,125.11,99.033,1.11,87.647,1.67,98.043,112075,193.144,47.935,1.266,195.397,6073.0,193219.0,8861372838837.0,8.626,0.0977,8.62,8.182,0
68.465,0.192,210155398108.0,22870439.0,48.746,7.834,2.908,4692809.0,25.633000000000006,3.087,295.611,79.994,4759.0,8.315,36.419,160400.0,440.311,31436013998035.0,276.38,84.478,1.34,58.497,1.669,86.819,133453,339.149,48.425,1.276,178.5,8125.0,180896.0,11374186667831.0,8.479,0.0892,8.08,7.539,0
