priceUSD,price90emaUSD,mining_profitability90trx,sentinusd90stdUSD,price30wmaUSD,difficulty30trx,median_transaction_feeUSD,difficulty90var,mining_profitability,top100cap,difficulty30var,difficulty14wma,difficulty3ema,hashrate14trx,difficulty90mom,hashrate14var,price7rsiUSD,fee_to_rewardUSD,difficulty30roc,difficulty30mom,mediantransactionvalueUSD,category
94.715,39.444,0.091,88825639,66.298,1.046,0.0474,1168545930405.0,7220.0,19.962,901878886924.0,6368099.0,6690038.0,2.0,3716190.0,3.3007362644153e+25,96.992,0.867,53.297,2327950.0,64.987,1
107.749,40.945,0.104,100243842,69.605,1.085,0.0539,1243754847226.0,7990.0,20.024,950005633515.0,6466725.0,6692932.0,2.017,3716190.0,3.2008626332648e+25,98.201,1.338,53.297,2327950.0,94.955,1
120.003,42.682,0.117,110663079,73.541,1.122,0.06,1315553871298.0,8852.0,19.987,986089374520.0,6547748.0,6694379.0,2.015,3716190.0,2.5922221956752996e+25,98.752,1.596,53.297,2327950.0,102.533,0
123.562,44.46,0.132,119905933,77.521,1.154,0.0618,1383943002621.0,8777.0,19.99,1010130109937.0,6611170.0,6695103.0,1.969,3716190.0,2.5213702195409e+25,98.869,1.948,53.297,2327950.0,123.314,0
128.664,46.31100000000001,0.147,126900119,81.643,1.1840000000000002,0.0643,1468006625051.0,9950.0,19.833,1049998827349.0,6698222.0,6850081.0,1.873,4025422.0,2.6287739709724e+25,99.022,1.432,60.377,2637182.0,125.183,0
134.114,48.24,0.163,128594677,85.92299999999999,1.216,0.0671,1595799220682.0,8923.0,19.833,1151730788639.0,6853785.0,7261540.0,1.8,4693363.0,2.7650478857832e+25,99.164,0.947,75.669,3305124.0,90.165,0
142.08,50.303,0.179,129459248,90.515,1.248,0.071,1718152888140.0,9411.0,19.767,1229187540768.0,6982440.0,7467270.0,1.745,4693363.0,2.9386493617664e+25,99.329,1.3019999999999998,75.669,3305124.0,64.295,0
163.561,52.792,0.196,134573612,96.276,1.279,0.0818,1838692472962.0,10124.0,19.689,1282369083736.0,7091172.0,7570135.0,1.7009999999999998,4555363.0,3.0539696882505997e+25,99.587,1.183,75.669,3305124.0,130.618,0
195.397,55.926,0.215,151305561,103.832,1.308,0.0977,1957321566010.0,13352.0,19.714,1311275417545.0,7190598.0,7621567.0,1.67,4423450.0,2.9970560076263003e+25,99.752,1.11,75.669,3305124.0,193.144,0
178.5,58.62,0.235,176454530,109.974,1.335,0.0892,2071119322547.0,12305.0,19.762,1315906542194.0,7280717.0,7647284.0,1.669,4423450.0,2.5085476365151003e+25,79.994,1.34,75.669,3305124.0,339.149,0
115.0,59.859,0.254,180576055,111.731,1.358,0.0575,2180085742573.0,7092.0,20.19,1296262457682.0,7361530.0,7660142.0,1.659,4423450.0,2.3344452182536e+25,42.81399999999999,1.5630000000000002,75.669,3305124.0,115.115,0
92.446,60.575,0.273,180713935,111.881,1.378,0.0462,2284220826087.0,6360.0,20.136,1252343164010.0,7433036.0,7666571.0,1.63,4423450.0,2.3413932086439e+25,35.9,1.291,75.669,3305124.0,98.599,1
98.435,61.407,0.29100000000000004,180253241,112.311,1.394,0.0492,2383524573089.0,6595.0,20.138,1221108094430.0,7495236.0,7669785.0,1.581,4423450.0,2.2658783473440997e+25,38.954,0.958,64.467,3007612.0,70.79899999999998,1
91.849,62.076,0.307,179634857,112.197,1.405,0.0459,2477996983579.0,5779.0,20.149,1190619441762.0,7548129.0,7671393.0,1.513,4423450.0,1.8671777471428998e+25,36.71,1.38,58.283,2825353.0,48.534,1
87.10799999999998,62.627,0.32299999999999995,179207184,111.674,1.413,0.0436,2567638057558.0,5865.0,20.385,1142391637396.0,7591716.0,7672196.0,1.4340000000000002,4423450.0,1.7877375856304e+25,35.016,1.785,58.283,2825353.0,69.25399999999999,1
75.043,62.899,0.338,179035829,110.28,1.418,0.0375,2652447795025.0,4937.0,20.518,1076424681331.0,7625997.0,7672598.0,1.376,4423450.0,2.0264053976004e+25,30.797,1.165,58.283,2825353.0,54.82100000000001,1
77.734,63.225,0.35100000000000003,178779230,108.993,1.42,0.0389,2758250272700.0,5006.0,20.389,1019450344506.0,7699674.0,7855437.0,1.328,4788726.0,2.1547160041776e+25,32.901,1.876,65.818,3190629.0,70.344,1
94.679,63.917,0.363,202838271,108.731,1.426,0.0473,2936841391024.0,4878.0,20.427,1040964977283.0,7885369.0,8414867.0,1.305,5724746.0,2.1789549403306e+25,45.151,1.148,85.12700000000002,4126649.0,91.957,1
106.7,64.857,0.375,203379046,109.151,1.4340000000000002,0.0534,3107340479299.0,6198.0,20.424,1024636874867.0,8049365.0,8694581.0,1.242,5724746.0,1.1791901285289e+25,52.351000000000006,1.594,85.12700000000002,4126649.0,91.794,1
114.48,65.94800000000001,0.386,202740265,109.969,1.442,0.0572,3269747537528.0,6887.0,20.546,970466037257.0,8194605.0,8834439.0,1.175,5724746.0,1.1120181898562e+25,56.648,1.19,85.12700000000002,4126649.0,63.022,0
114.295,67.01,0.397,202016545,110.665,1.45,0.0571,3424062565708.0,6616.0,20.52,878452464453.0,8327453.0,8904367.0,1.155,5724746.0,1.9338538251980997e+25,56.506,0.745,85.12700000000002,4126649.0,73.62,1
113.535,68.033,0.407,202157939,111.208,1.457,0.0568,3570285563842.0,6062.0,20.518,748596156457.0,8447907.0,8939332.0,1.146,5724746.0,2.1446580539080998e+25,55.839,1.204,85.12700000000002,4126649.0,85.425,1
120.78,69.192,0.416,202562157,112.112,1.462,0.0604,3705865399816.0,7056.0,20.52,696420402236.0,8555968.0,8956814.0,1.143,5787141.0,2.3797107033062e+25,60.969,1.4409999999999998,60.799,3393244.0,72.2,0
134.8,70.634,0.426,205642605,113.799,1.465,0.0674,3823245990120.0,7469.0,20.311,731693143115.0,8651635.0,8965555.0,1.144,6005521.0,2.6584371647643003e+25,69.079,1.523,34.028,2278470.0,77.78699999999998,0
139.74,72.153,0.435,206469517,115.664,1.465,0.0699,3931721326432.0,8539.0,20.382,755429385504.0,8734910.0,8969925.0,1.135,6005521.0,2.7315964645895e+25,71.513,1.393,34.028,2278470.0,91.25,0
132.945,73.48899999999998,0.444,205881136,116.944,1.463,0.0665,4031291408750.0,7248.0,20.42,767629129401.0,8805791.0,8972111.0,1.146,6005521.0,3.3918116304684e+25,63.494,0.944,34.028,2278470.0,91.286,0
126.316,74.65,0.453,205093237,117.681,1.459,0.0632,4121956237076.0,6431.0,20.167,768292374807.0,8864278.0,8973203.0,1.142,6005521.0,3.1883745532636e+25,56.308,1.054,34.028,2278470.0,85.83200000000002,1
124.045,75.736,0.461,204541612,118.185,1.452,0.062,4203715811408.0,7773.0,20.183,757419121722.0,8910373.0,8973750.0,1.118,6005521.0,2.6917495823071004e+25,53.872,0.7390000000000001,34.028,2278470.0,72.582,1
130.56,76.94,0.469,205946817,119.028,1.442,0.0653,4276570131748.0,7263.0,20.057,735009370146.0,8944074.0,8974023.0,1.11,6005521.0,2.5729439666972997e+25,59.708,1.044,34.028,2278470.0,91.261,0
134.465,78.205,0.476,205547838,120.03,1.4340000000000002,0.0672,4416478161259.0,6393.0,20.088,777526055636.0,9082731.0,9414219.0,1.111,6885639.0,2.8424289111544e+25,62.982,1.217,47.172,3158588.0,75.671,0
124.662,79.226,0.483,205059685,120.302,1.4280000000000002,0.0623,4566138193669.0,6340.0,20.156,823469969518.0,9230196.0,9745256.0,1.097,7107518.0,2.7025245297222e+25,50.872,1.074,50.486,3380467.0,88.1,1
111.049,79.925,0.488,204385232,119.632,1.422,0.0555,4703324940710.0,5352.0,20.215,844019317980.0,9358252.0,9910774.0,1.056,7107518.0,2.7357525845222e+25,38.789,1.548,50.486,3380467.0,71.153,1
102.694,80.426,0.493,203620954,118.415,1.4169999999999998,0.0513,4828038402382.0,5046.0,20.229,839174101020.0,9475812.0,9993534.0,0.997,7107518.0,1.5221098464045e+25,33.151,1.3130000000000002,50.486,3380467.0,71.191,1
105.04,80.967,0.498,203196164,117.387,1.412,0.0525,4940278578686.0,5658.0,20.203,808934318641.0,9582877.0,10034913.0,0.942,7107518.0,9.2415673666272e+24,36.189,1.139,50.486,3380467.0,46.458,1
113.464,81.681,0.501,202764894,116.942,1.405,0.0567,5040045469621.0,6262.0,20.175,791101920091.0,9679447.0,10055603.0,0.893,7107518.0,8.9496418806838e+24,46.396,0.882,43.843,3071234.0,59.378,1
113.005,82.369,0.504,202138623,116.501,1.398,0.0565,5137023472602.0,5457.0,20.096,816037630802.0,9765522.0,10065948.0,0.889,6960601.0,1.9421813395942e+25,45.929,1.264,31.321,2403293.0,64.307,1
