hashrate14std,fee_to_reward90trxUSD,hashrate30trx,difficulty14trx,top100cap,price90smaUSD,price90rocUSD,difficulty90var,mining_profitability,price30varUSD,difficulty14var,price30smaUSD,priceUSD,price3emaUSD,top100cap90rsi,price90momUSD,top100cap30rsi,difficulty7trx,price7rocUSD,price7rsiUSD,median_transaction_feeUSD,price14rocUSD,top100cap14mom,top100cap14rsi,top100cap30mom,top100cap30roc,category
11490406893431.0,0.742,1.3730000000000002,1.93,19.962,32.485,606.456,1168545930405.0,7220.0,343.5180000000001,761539976695.0,56.481,94.715,90.961,50.301,81.308,65.405,2.593,36.98,96.992,0.0474,104.747,0.607,73.605,0.6940000000000001,3.6,1
11315233330806.0,0.733,1.406,1.948,20.024,33.536,716.2180000000002,1243754847226.0,7990.0,405.594,695426590110.0,58.99100000000001,107.749,99.355,50.893,94.548,66.711,2.333,50.27,98.201,0.0539,109.704,0.682,75.389,0.677,3.498,1
10182774073258.0,0.725,1.435,1.943,19.987,34.722,808.284,1315553871298.0,8852.0,499.422,594458447418.0,61.879,120.003,109.679,50.53,106.79,65.191,2.064,51.448,98.752,0.06,107.789,0.575,72.249,0.5920000000000001,3.051,1
10042649490131.0,0.7170000000000001,1.456,1.917,19.99,35.948,834.762,1383943002621.0,8777.0,596.59,458635548619.0,64.777,123.562,116.62,50.559,110.343,65.257,1.801,44.093,98.869,0.0618,93.098,0.608,72.35,0.659,3.408,0
10254314157412.0,0.71,1.4680000000000002,1.888,19.833,37.231,876.762,1468006625051.0,9950.0,701.54,303649731270.0,67.766,128.664,122.642,49.033,115.491,59.122,1.634,48.589,99.022,0.0643,95.718,0.472,60.032,0.443,2.285,0
10516744526294.0,0.7020000000000001,1.479,1.885,19.833,38.576,922.051,1595799220682.0,8923.0,812.71,163650815957.0,70.904,134.114,128.378,49.037,120.991,59.132,1.673,53.353,99.164,0.0671,110.817,0.489,60.051,0.444,2.292,0
10841862131140.0,0.695,1.489,1.89,19.767,40.008,979.512,1718152888140.0,9411.0,941.058,117098288072.0,74.263,142.08,135.22899999999998,48.404,128.918,56.71100000000001,1.756,59.552,99.329,0.071,119.363,0.385,55.41,0.261,1.339,0
11052546653601.0,0.687,1.4980000000000002,1.894,19.689,41.677,1120.0,1838692472962.0,10124.0,1159.0,157860879016.0,78.277,163.561,149.395,47.679,150.154,54.048,1.81,72.687,99.587,0.0818,136.547,0.244,50.519,0.174,0.889,0
10949074860693.0,0.679,1.506,1.891,19.714,43.69600000000001,1337.0,1957321566010.0,13352.0,1552.0,188879915695.0,83.309,195.397,172.396,47.935,181.794,54.76300000000001,1.809,81.344,99.752,0.0977,172.50599999999997,0.123,52.004,0.301,1.5490000000000002,0
10017080685539.0,0.672,1.518,1.877,19.762,45.527,1198.0,2071119322547.0,12305.0,1786.0,210155398108.0,87.755,178.5,175.44799999999995,48.425,164.748,56.115,1.755,48.746,79.994,0.0892,125.273,0.093,54.798,0.32,1.646,0
9663219377109.0,0.664,1.527,1.851,20.19,46.649,722.163,2180085742573.0,7092.0,1742.0,221687326257.0,90.118,115.0,145.224,52.423,101.012,65.535,1.656,-6.9289999999999985,42.81399999999999,0.0575,34.108000000000004,0.481,70.922,0.73,3.752,0
9677588973797.0,0.657,1.533,1.814,20.136,47.521,561.246,2284220826087.0,6360.0,1664.0,223475700141.0,91.774,92.446,118.835,51.908,78.465,63.745,1.528,-28.15,35.9,0.0462,6.7620000000000005,0.275,67.63600000000001,0.655,3.362,1
9520248625628.0,0.649,1.533,1.767,20.138,48.46,607.072,2383524573089.0,6595.0,1584.0,215520519761.0,93.612,98.435,108.635,51.927,84.51299999999998,63.785,1.384,-26.603,38.954,0.0492,12.556,0.181,67.699,0.647,3.317,1
8642170438363.0,0.642,1.529,1.71,20.149,49.325,556.932,2477996983579.0,5779.0,1498.0,197821785115.0,95.22,91.849,100.242,52.024,77.867,63.997,1.233,-35.354,36.71,0.0459,3.144,0.303,68.044,0.74,3.814,1
8456329193286.0,0.635,1.52,1.646,20.385,50.13800000000001,523.689,2567638057558.0,5865.0,1411.0,170379496204.0,96.652,87.10799999999998,93.675,54.059,73.141,68.17699999999999,1.085,-46.743,35.016,0.0436,-8.032,0.423,74.435,0.98,5.048,1
9003122564089.0,0.628,1.511,1.5759999999999998,20.518,50.81399999999999,428.524,2652447795025.0,4937.0,1333.0,133193653029.0,97.689,75.043,84.359,55.142,60.844,70.193,0.943,-61.595,30.797,0.0375,-30.354,0.494,77.199,1.125,5.801,1
9283783720397.0,0.622,1.501,1.516,20.389,51.51300000000001,423.267,2758250272700.0,5006.0,1257.0,101245830091.0,98.738,77.734,81.046,53.895,62.878,65.99600000000001,0.89,-56.451,32.901,0.0389,-35.223,0.402,69.361,1.034,5.34,1
